denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.05,22.84662327245691,13.471210262624771,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.1,20.682874726470292,11.307461716638153,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.2,18.666803331175473,9.291390321343334,0.0,40
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.5,-297.8861567858566,-307.26156979568873,1.0,40
wavelet,blur,pnp_hqs,fixed10p0,0.1,0.5,0.0,0.15,17.131157131692408,-3.1979443465715387,1.0,40
wavelet,blur,pnp_hqs,fixed10p0,0.2,0.5,0.0,0.15,19.870662874272618,-0.45843860399132924,1.0,40
wavelet,blur,pnp_hqs,fixed10p0,0.4,0.5,0.0,0.15,22.012095435982197,1.6829939577182504,0.0,40
wavelet,blur,pnp_hqs,fixed10p0,0.8,0.5,0.0,0.15,21.627691616834205,1.298590138570259,0.0,40
wavelet,blur,pnp_hqs,fixed10p0,1.6,0.5,0.0,0.15,21.63610498755705,1.3070035092931056,0.0,40
wavelet,blur,pnp_hqs,fixed15p0,0.1,0.5,0.0,0.15,18.55691541065636,-1.772186067607588,1.0,40
wavelet,blur,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,21.578709746025744,1.2496082677617966,0.0,40
wavelet,blur,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,21.523380458149205,1.1942789798852609,0.0,40
wavelet,blur,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,21.48948406222503,1.1603825839610846,0.0,40
wavelet,blur,pnp_hqs,fixed15p0,1.6,0.5,0.0,0.15,21.505834838166052,1.176733359902106,0.0,40
wavelet,blur,pnp_hqs,fixed20p0,0.1,0.5,0.0,0.15,21.48803353829114,1.1589320600271968,0.0,40
wavelet,blur,pnp_hqs,fixed20p0,0.2,0.5,0.0,0.15,21.566055202130578,1.236953723866634,0.0,40
wavelet,blur,pnp_hqs,fixed20p0,0.4,0.5,0.0,0.15,21.462380846383965,1.1332793681200202,0.0,40
wavelet,blur,pnp_hqs,fixed20p0,0.8,0.5,0.0,0.15,21.47208816465278,1.1429866863888374,0.0,40
wavelet,blur,pnp_hqs,fixed20p0,1.6,0.5,0.0,0.15,21.28315600507111,0.9540545268071637,0.0,40
wavelet,blur,pnp_hqs,fixed25p0,0.1,0.5,0.0,0.15,21.61447849230787,1.2853770140439256,0.0,40
wavelet,blur,pnp_hqs,fixed25p0,0.2,0.5,0.0,0.15,21.490629762226334,1.1615282839623866,0.0,40
wavelet,blur,pnp_hqs,fixed25p0,0.4,0.5,0.0,0.15,21.479718404260566,1.1506169259966215,0.0,40
wavelet,blur,pnp_hqs,fixed25p0,0.8,0.5,0.0,0.15,21.243210495333866,0.914109017069919,0.0,40
wavelet,blur,pnp_hqs,fixed25p0,1.6,0.5,0.0,0.15,20.633649284144145,0.3045478058801976,0.19999999999999996,40
wavelet,blur,pnp_hqs,fixed30p0,0.1,0.5,0.0,0.15,21.530428184095634,1.2013267058316892,0.0,40
wavelet,blur,pnp_hqs,fixed30p0,0.2,0.5,0.0,0.15,21.490527048024383,1.1614255697604385,0.0,40
wavelet,blur,pnp_hqs,fixed30p0,0.4,0.5,0.0,0.15,21.249145036673045,0.9200435584090977,0.0,40
wavelet,blur,pnp_hqs,fixed30p0,0.8,0.5,0.0,0.15,20.686505718556468,0.3574042402925211,0.17500000000000004,40
wavelet,blur,pnp_hqs,fixed30p0,1.6,0.5,0.0,0.15,20.15217261696491,-0.17692886129903504,0.65,40
