dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,True,0,20,0.00794342272465447,20.99992325012016,0.48038736188560954,0.004281684934338994,23.68385293209777,0.6884272223787411,2.683929681977613,0.20803986049313156,True,20,20
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,True,16,20,0.00794342272465447,20.99992325012016,0.48038736188560954,0.0042814295686940985,23.68411195909184,0.6882993592981911,2.684188708971682,0.20791199741258154,True,20,320
val_images,test001.png,0,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,False,0,20,0.008927772365786554,20.492568916080103,0.49059174778116094,0.00450030957271658,23.467576104250462,0.6993786339563358,2.975007188170359,0.20878688617517488,True,20,20
val_images,test001.png,0,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,False,16,20,0.008927772365786554,20.492568916080103,0.49059174778116094,0.004491733967192157,23.475859736932687,0.6998544899099508,2.9832908208525843,0.20926274212878987,True,20,320
val_images,test002.png,1,upright,0.0,481,321,154401.0,1.0,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,True,0,20,0.0038893401297342227,24.10124075364373,0.7211078012771938,0.0016190900349311109,27.907290001740197,0.8229570950803428,3.8060492480964676,0.101849293803149,True,20,20
val_images,test002.png,1,upright,0.0,481,321,154401.0,1.0,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,True,16,20,0.0038893401297342227,24.10124075364373,0.7211078012771938,0.001612515555483621,27.924960871558792,0.8240839801879521,3.8237201179150624,0.10297617891075839,True,20,320
val_images,test002.png,1,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,False,0,20,0.004523967615400889,23.4448051261109,0.7165430547907489,0.0018447648617046799,27.340589822269003,0.8190083753077222,3.8957846961581026,0.10246532051697332,True,20,20
val_images,test002.png,1,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,False,16,20,0.004523967615400889,23.4448051261109,0.7165430547907489,0.0018381115314595345,27.356281403776123,0.8198751093223633,3.9114762776652228,0.10333205453161443,True,20,320
val_images,test003.png,2,upright,0.0,481,321,154401.0,1.0,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,True,0,20,0.004781531164690481,23.204330092678724,0.7179322733499135,0.0024397250269539623,26.126591187456896,0.8124013830059391,2.9222610947781718,0.09446910965602562,True,20,20
val_images,test003.png,2,upright,0.0,481,321,154401.0,1.0,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,G16_fixed,True,16,20,0.004781531164690481,23.204330092678724,0.7179322733499135,0.00243554193213309,26.134043888853753,0.8148677692340075,2.9297137961750295,0.096935495884094,True,20,320
