denoiser,dataset,group,averaging,noise_mask,noise_sigma,EhSE_psnr,SEavg_psnr,gain_psnr,realized_gain,predicted_gain,tracking
restormer,square_val_images,fourier_rotation,2,circle,50.0,22.938740642896622,22.97237777733085,0.03363713443422611,3.921749448404523e-05,0.0005894147666581362,0.06653632840995921
restormer,square_val_images,fourier_rotation,4,circle,50.0,22.91093785420635,22.983844082675592,0.07290622846924322,8.516209245612496e-05,0.0005823200618377579,0.14624619352347207
restormer,square_val_images,fourier_rotation,8,circle,50.0,19.156936409801673,21.16350560127547,2.0065691914737975,0.004492662275498117,0.002554718616880866,1.7585742108003055
restormer,square_val_images,fourier_rotation,16,circle,50.0,18.118442799529014,20.100814269530304,1.98237147000129,0.005651993286191972,0.003024680152668372,1.8686251110570435
restormer,square_val_images,fourier_rotation,32,circle,50.0,17.76755058038485,19.625413141492093,1.8578625611072432,0.005819525859824748,0.003156606117030193,1.843602161330122
restormer,square_val_images,rotation,2,circle,50.0,21.699589511445268,21.47462662166752,-0.22496288977774626,-0.0003594713786085111,0.000479895746448518,-0.7490613977489677
restormer,square_val_images,rotation,4,circle,50.0,21.70851156032761,21.504035919237236,-0.20447564109037586,-0.00032528947061544894,0.0005380202976376625,-0.6046044583145445
restormer,square_val_images,rotation,8,circle,50.0,20.41584572863123,21.076267521929953,0.660421793298724,0.001281887153440386,0.0017189234356716407,0.7457500007494574
restormer,square_val_images,rotation,16,circle,50.0,20.28401784856566,20.980666597344836,0.6966487487791753,0.0013882281563620917,0.0017798157573821847,0.7799841925233577
restormer,square_val_images,rotation,32,circle,50.0,20.253839431884995,20.942897529056314,0.6890580971713192,0.0013838534944427031,0.0018039400002121664,0.7671283381265144
restormer,val_images,fourier_rotation,2,circle,50.0,22.612140670156666,22.645318105341428,0.03317743518476135,4.170485498329363e-05,0.0008433392616809075,0.049452049582239664
restormer,val_images,fourier_rotation,4,circle,50.0,22.57002932953618,22.63208738736814,0.06205805783196183,7.850760478399164e-05,0.0008269130995916226,0.09494057455706438
restormer,val_images,fourier_rotation,8,circle,50.0,18.996439217082205,22.100858470417823,3.1044192533356174,0.006434848972166006,0.001829119019955799,3.5180045158141238
restormer,val_images,fourier_rotation,16,circle,50.0,18.190176362701983,21.632935330794112,3.4427589680921287,0.008303845450590363,0.0019908292341361596,4.171048580263331
restormer,val_images,fourier_rotation,32,circle,50.0,18.033912311220508,21.356980195091133,3.3230678838706247,0.008409179441292826,0.002017882481694165,4.167328631661783
restormer,val_images,rotation,2,circle,50.0,21.165009005153802,21.02003607880404,-0.14497292634976233,-0.0002595795671031205,0.0004602223391919567,-0.5640307846830769
restormer,val_images,rotation,4,circle,50.0,21.160709910942042,21.04928877930814,-0.11142113163390377,-0.00019892768558615274,0.0005633283935198835,-0.35312916564204977
restormer,val_images,rotation,8,circle,50.0,20.970921159084437,21.505912316284345,0.534991157199908,0.0009268195414856715,0.0013762475608050304,0.6734395525057514
restormer,val_images,rotation,16,circle,50.0,21.10351191643254,21.711380269316635,0.6078683528840934,0.0010130597507928313,0.0014571073671112,0.6952540174175916
restormer,val_images,rotation,32,circle,50.0,21.222834295397163,21.837950908122124,0.615116612724961,0.0009965448172991544,0.0014961969103283069,0.6660519149718636
restormer,val_images_circle,fourier_rotation,2,circle,50.0,25.13215127800467,25.14976933524634,0.01761805724166976,1.2418752518387968e-05,0.00010219729343085619,0.12151743066258547
restormer,val_images_circle,fourier_rotation,4,circle,50.0,25.125129704973773,25.157065378325637,0.03193567335186387,2.2510388506792665e-05,0.00011449873942298641,0.19659944397845092
restormer,val_images_circle,fourier_rotation,8,circle,50.0,18.611684539634144,21.75830534090016,3.1466208012660175,0.007096083666040656,0.006582399804180757,1.078038994461205
restormer,val_images_circle,fourier_rotation,16,circle,50.0,17.219783205513842,19.709803337676266,2.4900201321624245,0.008276973142945537,0.009087700507149648,0.9107885032559909
