dataset,input_pose,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,30.90881300818428,28.959984049555874,0.0009162081274313819,0.0013868018804579318,0.09999999999999998,1.948828958628405,10,30.380058600354367,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,restormer,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,30.57998127141324,28.959984049555874,0.00098158800517016,0.0013868018804579318,0.0,1.6199972218573606,10,30.08070757249511,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,30.194796355181484,28.959984049555874,0.0010617862638689275,0.0013868018804579318,0.09999999999999998,1.2348123056256068,10,29.739628973453183,28.57985578126147
val_images,rot45_padded,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,32.71698067325207,28.959984049555874,0.0006200662632416888,0.0013868018804579318,0.0,3.7569966236961934,10,32.075618972396505,28.57985578126147
val_images,rot45_padded,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,32.73689949908899,28.959984049555874,0.0006170002411206778,0.0013868018804579318,0.0,3.776915449533115,10,32.09714666246565,28.57985578126147
val_images,rot45_padded,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,32.760482966138014,28.959984049555874,0.0006116469301878961,0.0013868018804579318,0.0,3.8004989165821343,10,32.13499199617295,28.57985578126147
val_images,rot45_padded,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,16.683784279299623,15.447961538512782,0.027776211909514077,0.03454611518060997,0.0,1.2358227407868425,10,15.563269831834132,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,16.67778652074667,15.447961538512782,0.027806337326353424,0.03454611518060997,0.0,1.2298249822338836,10,15.558562129953117,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,16.72118234171399,15.447961538512782,0.027985588250829047,0.03454611518060997,0.0,1.2732208032012062,10,15.530655598880712,14.616007833254907
val_images,rot45_padded,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,15.666778638394835,15.447961538512782,0.032984875341172365,0.03454611518060997,0.0,0.2188170998820505,10,14.81685152897558,14.616007833254907
val_images,rot45_padded,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,15.565157270918618,15.447961538512782,0.03367381287506192,0.03454611518060997,0.0,0.11719573240583507,10,14.727077058023799,14.616007833254907
val_images,rot45_padded,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,15.506147628899413,15.447961538512782,0.034109351906364924,0.03454611518060997,0.0,0.058186090386630696,10,14.671265323124334,14.616007833254907
val_images,upright,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,26.104350479536766,23.911559607575153,0.0027516608806642134,0.004585318064870584,0.0,2.192790871961612,10,25.604050903243312,23.3863053370668
val_images,upright,blur,pnp_hqs,restormer,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,25.574421315132792,23.911559607575153,0.003133054550663333,0.004585318064870584,0.0,1.662861707557639,10,25.04032043405616,23.3863053370668
val_images,upright,blur,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,24.536394049397163,23.911559607575153,0.003937992727534828,0.004585318064870584,0.09999999999999998,0.6248344418220075,10,24.047250902279693,23.3863053370668
