denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.02,24.9337230598543,16.758244982266476,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.05,22.978967167516043,14.803489089928215,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.1,20.869208007691558,12.693729930103732,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.2,18.620719580386165,10.445241502798343,0.0,144
restormer,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.5,-297.4174158059707,-305.5928938835584,1.0,144
restormer-aug,blur,pnp_hqs,fixed15p0,0.1,0.5,0.0,0.15,16.892972847265074,-3.21689377729978,1.0,144
restormer-aug,blur,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,18.685530342803073,-1.424336281761781,1.0,144
restormer-aug,blur,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,20.613811934723593,0.5039453101587387,0.00694444444444442,144
restormer-aug,blur,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,22.305971905402572,2.196105280837716,0.0,144
restormer-aug,blur,pnp_hqs,fixed15p0,1.6,0.5,0.0,0.15,23.16658617491679,3.056719550351938,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.02,22.47250397486039,2.3626373502955342,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.05,22.470229911141903,2.3603632865770474,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.1,22.436969532803886,2.3271029082390307,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.2,22.349306885392572,2.2394402608277173,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.5,21.92664694231664,1.8167803177517865,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.02,22.607855750163214,2.4979891255983593,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.05,22.57718996233534,2.4673233377704866,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.1,22.50085479122323,2.390988166658373,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.2,22.29822767861178,2.188361054046926,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.5,21.477097390753148,1.3672307661882945,0.02083333333333337,144
restormer-aug,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.02,22.822170023012863,2.7123033984480087,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.05,22.74394248918563,2.6340758646207765,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.1,22.57827453217685,2.4684079076119945,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.2,22.100207940478356,1.9903413159134997,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.5,20.60658799190326,0.4967213673384059,0.2777777777777778,144
restormer-aug,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.02,23.10784845689501,2.9979818323301544,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.05,22.95368178983054,2.8438151652656853,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.1,22.61108253193577,2.5012159073709186,0.0,144
restormer-aug,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.2,21.979150887972953,1.8692842634080986,0.00694444444444442,144
restormer-aug,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.5,-69.35293914357784,-89.46280576814269,0.6319444444444444,144
restormer-aug,inpaint,pnp_hqs,fixed15p0,0.1,0.5,0.0,0.15,26.543795384580584,18.368317306992754,0.0,144
restormer-aug,inpaint,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,26.31421433839501,18.138736260807185,0.0,144
restormer-aug,inpaint,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,25.444502503014213,17.269024425426387,0.0,144
restormer-aug,inpaint,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,24.629986462681195,16.45450838509337,0.0,144
restormer-aug,inpaint,pnp_hqs,fixed15p0,1.6,0.5,0.0,0.15,25.10238808173729,16.926910004149462,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.02,24.296526502247914,16.12104842466009,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.05,24.413446781674267,16.23796870408644,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.1,24.379788695696035,16.20431061810821,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.2,24.381542479484015,16.20606440189619,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,1.0,15.0,0.5,24.34397576509201,16.168497687504185,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.02,24.439405053258614,16.26392697567079,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.05,24.36980208162631,16.194324004038485,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.1,24.339992464711727,16.1645143871239,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.2,24.29238409735565,16.116906019767825,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,2.0,15.0,0.5,23.953967407426873,15.778489329839045,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.02,24.366189398379962,16.190711320792136,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.05,24.287893588618687,16.11241551103086,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.1,24.207887638588776,16.03240956100095,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.2,24.150084278904217,15.97460620131639,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,4.0,15.0,0.5,23.542928308992455,15.367450231404629,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.02,24.250971197426114,16.07549311983829,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.05,24.192980165237273,16.017502087649447,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.1,24.040278255543797,15.86480017795597,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.2,23.89472040436063,15.719242326772806,0.0,144
restormer-aug,inpaint,red_gd,fixed15p0,0.8,8.0,15.0,0.5,-237.6983574298,-245.87383550738787,0.9791666666666666,144
wavelet,blur,pnp_hqs,fixed10p0,0.1,0.5,0.0,0.15,17.041932672808485,-3.0679339517563693,1.0,144
wavelet,blur,pnp_hqs,fixed10p0,0.2,0.5,0.0,0.15,19.709829302299593,-0.40003732226526345,1.0,144
wavelet,blur,pnp_hqs,fixed10p0,0.4,0.5,0.0,0.15,21.59968213352224,1.489815508957385,0.0,144
wavelet,blur,pnp_hqs,fixed10p0,0.8,0.5,0.0,0.15,21.397159908895745,1.2872932843308875,0.0,144
wavelet,blur,pnp_hqs,fixed10p0,1.6,0.5,0.0,0.15,21.315450164007828,1.2055835394429761,0.0,144
wavelet,blur,pnp_hqs,fixed15p0,0.1,0.5,0.0,0.15,18.47035146254436,-1.6395151620204946,1.0,144
wavelet,blur,pnp_hqs,fixed15p0,0.2,0.5,0.0,0.15,21.24159034568869,1.1317237211238325,0.0,144
wavelet,blur,pnp_hqs,fixed15p0,0.4,0.5,0.0,0.15,21.253148221222386,1.1432815966575314,0.0,144
wavelet,blur,pnp_hqs,fixed15p0,0.8,0.5,0.0,0.15,21.174396315170075,1.0645296906052182,0.0,144
wavelet,blur,pnp_hqs,fixed15p0,1.6,0.5,0.0,0.15,21.227645082621674,1.1177784580568204,0.0,144
wavelet,blur,pnp_hqs,fixed20p0,0.1,0.5,0.0,0.15,21.129943005856195,1.0200763812913403,0.02083333333333337,144
wavelet,blur,pnp_hqs,fixed20p0,0.2,0.5,0.0,0.15,21.27127733569784,1.1614107111329843,0.0,144
