dataset,input_pose,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,linear10p0_to_2p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.71678388583402,28.959984049555874,0.0012080231348312264,0.0013868018804579318,0.19999999999999996,0.756799836278141,10,29.179247484687508,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,linear10p0_to_2p0,0.8,0.5,0.0,0.15,vanilla,0,20,29.14011751659221,28.959984049555874,0.001365425394163912,0.0013868018804579318,0.5,0.1801334670363321,10,28.64732024406046,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,linear15p0_to_3p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.71678388583402,28.959984049555874,0.0012080231348312264,0.0013868018804579318,0.19999999999999996,0.756799836278141,10,29.179247484687508,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,linear15p0_to_3p0,0.8,0.5,0.0,0.15,vanilla,0,20,29.14011751659221,28.959984049555874,0.001365425394163912,0.0013868018804579318,0.5,0.1801334670363321,10,28.64732024406046,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,28.38083112880161,28.959984049555874,0.001573916607168609,0.0013868018804579318,1.0,-0.5791529207542663,10,28.030182821459206,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.8,0.5,0.0,0.15,vanilla,0,20,28.232049747155138,28.959984049555874,0.0016153397545012726,0.0013868018804579318,1.0,-0.7279343024007385,10,27.91736118542446,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,28.127218853250376,28.959984049555874,0.001650723226304427,0.0013868018804579318,1.0,-0.8327651963054997,10,27.823257379819815,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,27.766916874811084,28.959984049555874,0.0017486883282557919,0.0013868018804579318,1.0,-1.1930671747447903,10,27.572875886805246,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,30.705278833654546,28.959984049555874,0.0009442926945721816,0.0013868018804579318,0.0,1.74529478409867,10,30.248933701775073,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.8,0.5,0.0,0.15,vanilla,0,20,30.589521100152844,28.959984049555874,0.0009679294169590085,0.0013868018804579318,0.0,1.6295370505969635,10,30.141563110210026,28.57985578126147
