dataset,eval_mask,input_pose,input_rotate_expand,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,26.217868234289494,22.13712774680254,0.8130493274235624,0.6464987379532782,0.0027197102214109132,0.006477052811152084,0.0,4.080740487486953,0.1665505894702842,10,25.654773665343463,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,24.728933750146716,22.13712774680254,0.7708380324434677,0.6464987379532782,0.0036908178500552106,0.006477052811152084,0.0,2.591806003344173,0.1243392944901895,10,24.328773876593726,21.886225618779534
val_images_circle,circle,upright,False,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,24.639202611266377,22.62081142304096,0.7460674948928819,0.6479331527685062,0.0038347593891404296,0.005952214598154647,0.0,2.018391188225416,0.0981343421243757,10,24.162618805407664,22.253214193448564
val_images_circle,circle,upright,False,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,24.882409047233214,22.62081142304096,0.7753259989013128,0.6479331527685062,0.003595716326195344,0.005952214598154647,0.0,2.2615976241922535,0.12739284613280671,10,24.442145780143292,22.253214193448564
