dataset,eval_mask,input_pose,input_rotate_expand,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images_circle,circle,rot45_padded,False,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,16,20,15.436660810700776,9.5260567439553,0.4779498168844195,0.1336941065479999,0.036388747233417,0.1272656629116285,0.0,5.910604066745476,0.3442557103364195,10,14.390328957459827,8.95288755965786
val_images_circle,circle,rot45_padded,False,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,10.147561171759328,9.5260567439553,0.1926366930328762,0.1336941065479999,0.1128248163290261,0.1272656629116285,0.0,0.6215044278040284,0.0589425864848763,10,9.475953648085286,8.95288755965786
val_images_circle,circle,upright,False,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,16,20,17.24531588870947,9.526506866491308,0.5605057828841232,0.1298075349018598,0.0257059058526241,0.1271623056967546,0.0,7.718809022218164,0.4306982479822633,10,15.899670873867418,8.956416060930684
val_images_circle,circle,upright,False,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,10.193189098588023,9.526506866491308,0.1953558345685837,0.1298075349018598,0.111828717104094,0.1271623056967546,0.0,0.6666822320967192,0.0655482996667238,10,9.514466572870557,8.956416060930684
val_images_circle,circle,rot45_padded,False,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,10.37983362797402,9.5260567439553,0.1736860904118448,0.1336941065479999,0.1045880085374089,0.1272656629116285,0.0,0.8537768840187215,0.0399919838638449,10,9.805181063346296,8.95288755965786
val_images_circle,circle,rot45_padded,False,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,9.694638806392884,9.5260567439553,0.1500139723669142,0.1336941065479999,0.1228320681957271,0.1272656629116285,0.0,0.1685820624375815,0.0163198658189143,10,9.106882356191166,8.95288755965786
val_images_circle,circle,upright,False,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,10.516005234689787,9.526506866491308,0.1741406565090259,0.1298075349018598,0.1015513921629302,0.1271623056967546,0.0,0.9894983681984808,0.044333121607166,10,9.933141184971438,8.956416060930684
val_images_circle,circle,upright,False,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,9.699623654432408,9.526506866491308,0.1463944758858648,0.1298075349018598,0.1226243818194707,0.1271623056967546,0.0,0.1731167879411019,0.0165869409840049,10,9.11423168994824,8.956416060930684
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,16,20,26.643872319162437,22.13712774680254,0.816666420361819,0.6464987379532782,0.0025117339103124,0.006477052811152,0.0,4.506744572359892,0.1701676824085407,10,26.00026371067008,21.88622561877953
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,26.44661448166373,22.13712774680254,0.8124746016236415,0.6464987379532782,0.0025912071378855,0.006477052811152,0.0,4.309486734861187,0.1659758636703633,10,25.86497868664127,21.88622561877953
val_images_circle,circle,upright,False,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,16,20,26.133463377642347,22.62081142304096,0.7770782049677347,0.6479331527685062,0.002822636980299,0.0059522145981546,0.0,3.512651954601386,0.1291450521992286,10,25.493449729301894,22.253214193448564
val_images_circle,circle,upright,False,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,26.618004352440785,22.62081142304096,0.8173167618553132,0.6479331527685062,0.0025160560490958,0.0059522145981546,0.0,3.9971929293998256,0.169383609086807,10,25.992796885280733,22.253214193448564
val_images_circle,circle,rot45_padded,False,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,26.382777089337527,22.13712774680254,0.823971725555741,0.6464987379532782,0.0026162506209538,0.006477052811152,0.0,4.245649342534987,0.1774729876024628,10,25.82320655575648,21.88622561877953
val_images_circle,circle,rot45_padded,False,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,26.379521450328347,22.13712774680254,0.8239063388629255,0.6464987379532782,0.0026189335912114,0.006477052811152,0.0,4.242393703525811,0.1774076009096472,10,25.81875513921488,21.88622561877953
val_images_circle,circle,upright,False,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,26.595238408212985,22.62081142304096,0.8269892650076646,0.6479331527685062,0.0025369549660597,0.0059522145981546,0.0,3.9744269851720224,0.1790561122391583,10,25.95687241948689,22.253214193448564
val_images_circle,circle,upright,False,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,26.569952704995,22.62081142304096,0.8278155741219775,0.6479331527685062,0.0025409304812135,0.0059522145981546,0.0,3.94914128195404,0.1798824213534713,10,25.950072169009676,22.253214193448564
val_images_circle,circle,rot45_padded,False,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,16,20,17.827961413547264,9.5260567439553,0.4844766731922963,0.1336941065479999,0.0419494467419615,0.1272656629116285,0.0,8.301904669591966,0.3507825666442964,10,13.772737625706236,8.95288755965786
val_images_circle,circle,rot45_padded,False,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,16.396176280168028,9.5260567439553,0.4368128444887214,0.1336941065479999,0.0480874672311925,0.1272656629116285,0.0,6.870119536212727,0.3031187379407214,10,13.179680966314155,8.95288755965786
val_images_circle,circle,upright,False,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,16,20,21.43362269854985,9.526506866491308,0.5393056531007392,0.1298075349018598,0.0076019870735609,0.1271623056967546,0.0,11.907115832058544,0.4094981181988794,10,21.1907287320778,8.956416060930684
val_images_circle,circle,upright,False,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,16.509740440872307,9.526506866491308,0.4406237444679325,0.1298075349018598,0.0474992347743316,0.1271623056967546,0.0,6.983233574381001,0.3108162095660726,10,13.233133869217053,8.956416060930684
val_images_circle,circle,rot45_padded,False,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,9.563711296765437,9.5260567439553,0.1356980186417031,0.1336941065479999,0.1263798118308235,0.1272656629116285,0.0,0.0376545528101378,0.0020039120937032,10,8.9832229560042,8.95288755965786
