dataset,input_pose,input_angle_deg,problem,algorithm,denoiser,denoiser_sigma,mode,sampling,base_group_size,sample_size,group_expand,num_iter,mean_final_se,mean_final_psnr,mean_degraded_se,mean_degraded_psnr,total_group_evals,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,45.0,blur,pnp_hqs,restormer,15.0,G16_fixed,fixed,16,16,False,20,0.0008981344508978108,30.95574592405789,0.0014056326593526037,28.8898617208145,320,10,30.466586444995162,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,restormer,15.0,G1_random,random,16,1,False,20,0.001158078449440917,29.765543240232894,0.0014056326593526037,28.8898617208145,20,10,29.3626202005133,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,restormer,15.0,G2_random,random,16,2,False,20,0.001034450341965035,30.37891119165164,0.0014056326593526037,28.8898617208145,40,10,29.852903524880432,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,restormer,15.0,G4_random,random,16,4,False,20,0.0010192050439036717,30.454262827313016,0.0014056326593526037,28.8898617208145,80,10,29.91738435740562,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,restormer,15.0,G16_fixed,fixed,16,16,False,20,0.0007871718450123905,31.644459412441023,0.0014056326593526037,28.8898617208145,320,10,31.039304478267496,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,restormer,15.0,G1_random,random,16,1,False,20,0.0007894380283588515,31.628009688524223,0.0014056326593526037,28.8898617208145,20,10,31.026819568502944,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,restormer,15.0,G2_random,random,16,2,False,20,0.0007888628552930822,31.635207465292137,0.0014056326593526037,28.8898617208145,40,10,31.02998492819131,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,restormer,15.0,G4_random,random,16,4,False,20,0.000788065998928851,31.63791206686427,0.0014056326593526037,28.8898617208145,80,10,31.034374097054382,28.521281607246003
val_images,rot45_padded,45.0,inpaint,pnp_hqs,restormer,15.0,G16_fixed,fixed,16,16,False,20,0.0083828281233921,22.60957737584409,0.03445523701920814,15.460987484530131,320,10,20.766094382702008,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,restormer,15.0,G1_random,random,16,1,False,20,0.006491557754473236,23.38011871203019,0.03445523701920814,15.460987484530131,20,10,21.876510746951745,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,restormer,15.0,G2_random,random,16,2,False,20,0.007874747854671611,22.869257019218278,0.03445523701920814,15.460987484530131,40,10,21.037633431990464,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,restormer,15.0,G4_random,random,16,4,False,20,0.009346243555820647,22.359319928295786,0.03445523701920814,15.460987484530131,80,10,20.293629057886236,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,restormer,15.0,G16_fixed,fixed,16,16,False,20,0.028041189953724593,16.359623842546025,0.03445523701920814,15.460987484530131,320,10,15.522035606279568,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,restormer,15.0,G1_random,random,16,1,False,20,0.027574039842841885,16.406593820796747,0.03445523701920814,15.460987484530131,20,10,15.59499601216529,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,restormer,15.0,G2_random,random,16,2,False,20,0.028036994408317296,16.36015734194342,0.03445523701920814,15.460987484530131,40,10,15.522685449794686,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,restormer,15.0,G4_random,random,16,4,False,20,0.028423260592678308,16.322864805107457,0.03445523701920814,15.460987484530131,80,10,15.46326103179033,14.627447582066965
val_images,upright,0.0,blur,pnp_hqs,restormer,15.0,G16_fixed,fixed,16,16,True,20,0.0033233443755609987,25.340478787328145,0.004615378748072558,23.874842116311157,320,10,24.78424653407833,23.357926540208148
val_images,upright,0.0,blur,pnp_hqs,restormer,15.0,G1_random,random,16,1,True,20,0.003299003337786638,25.35737558505665,0.004615378748072558,23.874842116311157,20,10,24.816172450543572,23.357926540208148
val_images,upright,0.0,blur,pnp_hqs,restormer,15.0,G2_random,random,16,2,True,20,0.0033147409115521233,25.35486201013456,0.004615378748072558,23.874842116311157,40,10,24.795504114765752,23.357926540208148
val_images,upright,0.0,blur,pnp_hqs,restormer,15.0,G4_random,random,16,4,True,20,0.0033326752945941245,25.36335488568377,0.004615378748072558,23.874842116311157,80,10,24.772069979612922,23.357926540208148
val_images,upright,0.0,blur,red_gd,restormer,15.0,G16_fixed,fixed,16,16,True,20,0.002627673741507624,26.555013465212618,0.004615378748072558,23.874842116311157,320,10,25.804285588455066,23.357926540208148
val_images,upright,0.0,blur,red_gd,restormer,15.0,G1_random,random,16,1,True,20,0.0026172453709251515,26.57093947597844,0.004615378748072558,23.874842116311157,20,10,25.82155559651514,23.357926540208148
val_images,upright,0.0,blur,red_gd,restormer,15.0,G2_random,random,16,2,True,20,0.0026196586918846307,26.566471596634113,0.004615378748072558,23.874842116311157,40,10,25.817552880263758,23.357926540208148
val_images,upright,0.0,blur,red_gd,restormer,15.0,G4_random,random,16,4,True,20,0.0026249928746723433,26.55931306118805,0.004615378748072558,23.874842116311157,80,10,25.80871871113142,23.357926540208148
val_images,upright,0.0,inpaint,pnp_hqs,restormer,15.0,G16_fixed,fixed,16,16,True,20,0.027306542516882925,17.517698824288328,0.12888757743575008,9.730675701157908,320,10,15.637332856126351,8.897889392105377
val_images,upright,0.0,inpaint,pnp_hqs,restormer,15.0,G1_random,random,16,1,True,20,0.028831730321061975,16.99766017562367,0.12888757743575008,9.730675701157908,20,10,15.401292928757817,8.897889392105377
val_images,upright,0.0,inpaint,pnp_hqs,restormer,15.0,G2_random,random,16,2,True,20,0.028571293810678668,17.114135471597947,0.12888757743575008,9.730675701157908,40,10,15.440700927598584,8.897889392105377
val_images,upright,0.0,inpaint,pnp_hqs,restormer,15.0,G4_random,random,16,4,True,20,0.028306147198568932,17.30709696094365,0.12888757743575008,9.730675701157908,80,10,15.481192392280018,8.897889392105377
val_images,upright,0.0,inpaint,red_gd,restormer,15.0,G16_fixed,fixed,16,16,True,20,0.10347842021791873,10.707618624818151,0.12888757743575008,9.730675701157908,320,10,9.851502101823755,8.897889392105377
val_images,upright,0.0,inpaint,red_gd,restormer,15.0,G1_random,random,16,1,True,20,0.10457353055385277,10.660839774045774,0.12888757743575008,9.730675701157908,20,10,9.805782293228702,8.897889392105377
val_images,upright,0.0,inpaint,red_gd,restormer,15.0,G2_random,random,16,2,True,20,0.10486447615634609,10.648631662944942,0.12888757743575008,9.730675701157908,40,10,9.793716082996621,8.897889392105377
val_images,upright,0.0,inpaint,red_gd,restormer,15.0,G4_random,random,16,4,True,20,0.10406478169958921,10.693366714351727,0.12888757743575008,9.730675701157908,80,10,9.826962224719411,8.897889392105377
