denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
wavelet,inpaint,pnp_hqs,fixed5p0,0.8,0.5,0.0,0.15,10.55818347660409,0.8775835829038291,0.0,20
wavelet,inpaint,pnp_hqs,fixed7p5,0.4,0.5,0.0,0.15,12.145850185903505,2.4652502922032467,0.0,20
wavelet,inpaint,pnp_hqs,fixed7p5,0.8,0.5,0.0,0.15,12.24670708052199,2.566107186821732,0.0,20
wavelet,inpaint,pnp_hqs,linear10p0_to_2p0,0.4,0.5,0.0,0.15,11.35028748393491,1.6696875902346515,0.0,20
wavelet,inpaint,pnp_hqs,linear10p0_to_2p0,0.8,0.5,0.0,0.15,11.381525266565456,1.700925372865197,0.0,20
wavelet,inpaint,pnp_hqs,linear15p0_to_3p0,0.4,0.5,0.0,0.15,15.051790881423731,5.371190987723472,0.0,20
wavelet,inpaint,pnp_hqs,linear15p0_to_3p0,0.8,0.5,0.0,0.15,14.916126116332686,5.235526222632427,0.0,20
wavelet,inpaint,red_gd,fixed3p25,0.8,3.846153846153847,1.4142135623730951,0.02,9.70649139523698,0.025891501536722605,0.0,20
wavelet,inpaint,red_gd,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,9.693785843791092,0.013185950090832715,0.0,20
wavelet,inpaint,red_gd,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,9.687254509877421,0.00665461617716243,0.0,20
wavelet,inpaint,red_gd,fixed4p1,0.8,3.846153846153847,1.4142135623730951,0.02,9.72213011532931,0.04153022162905052,0.0,20
wavelet,inpaint,red_gd,fixed4p1,0.8,3.921568627450981,1.4142135623730951,0.01,9.701734696487188,0.021134802786928825,0.0,20
wavelet,inpaint,red_gd,fixed4p1,0.8,3.960396039603961,1.4142135623730951,0.005,9.69126242114493,0.01066252744467109,0.0,20
wavelet,inpaint,red_gd,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,9.743027114762354,0.06242722106209584,0.0,20
wavelet,inpaint,red_gd,fixed5p0,0.8,3.921568627450981,1.4142135623730951,0.01,9.712333827283985,0.03173393358372634,0.0,20
wavelet,inpaint,red_gd,fixed5p0,0.8,3.960396039603961,1.4142135623730951,0.005,9.696600961664581,0.016001067964322054,0.0,20
