dataset,input_pose,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,16,20,16.134381820009278,9.684471187083725,0.5144355575035631,0.1196315292275362,0.0358489507836793,0.1300656649077238,0.0,6.449910632925556,0.3948040282760268,10,14.45523550610588,8.858373345616485
val_images,rot45_padded,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,10.889604280942033,9.684471187083725,0.3055025760347159,0.1196315292275362,0.1066899870837652,0.1300656649077238,0.0,1.2051330938583094,0.1858710468071796,10,9.718763374482508,8.858373345616485
val_images,upright,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,G16_fixed,16,20,17.440762482842914,9.676728600316794,0.5258139747516208,0.1098877710525271,0.0277168645856355,0.1302500358871745,0.0,7.764033882526119,0.4159262036990935,10,15.572558999683636,8.852221483693231
val_images,upright,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,10.387039336192284,9.676728600316794,0.2069566655221225,0.1098877710525271,0.112524226372704,0.1302500358871745,0.0,0.7103107358754895,0.0970688944695954,10,9.487539642434774,8.852221483693231
val_images,rot45_padded,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,10.518234632846417,9.684471187083725,0.1575264657547697,0.1196315292275362,0.1071116854471689,0.1300656649077238,0.0,0.8337634457626919,0.0378949365272334,10,9.701631468302622,8.858373345616485
val_images,rot45_padded,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,9.81794557511931,9.684471187083725,0.1378883284711874,0.1196315292275362,0.1267903786071318,0.1300656649077238,0.0,0.1334743880355876,0.0182567992436512,10,8.96913701315238,8.858373345616485
val_images,upright,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,10.687539988116544,9.676728600316794,0.1534683784026657,0.1098877710525271,0.1037743953093325,0.1302500358871745,0.0,1.010811387799751,0.0435806073501386,10,9.839097885645744,8.852221483693231
val_images,upright,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,9.940811772282093,9.676728600316794,0.1391572398636505,0.1098877710525271,0.1241669460351009,0.1302500358871745,0.0,0.2640831719652978,0.0292694688111233,10,9.059940004968304,8.852221483693231
val_images,rot45_padded,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,16,20,25.70353757426077,23.473969875493264,0.7428495531954522,0.6735075017410599,0.003103549311772,0.0049451981322324,0.0,2.229567698767512,0.0693420514543923,10,25.081413497919183,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,26.214783471365287,23.473969875493264,0.7658451175417855,0.6735075017410599,0.0027414962954396,0.0049451981322324,0.0,2.7408135958720217,0.0923376158007256,10,25.620123366385013,23.05816303457812
val_images,upright,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,G16_fixed,16,20,26.47915859638036,23.911001776551096,0.7626011772915978,0.6659437975223607,0.0025968275924353,0.0045858521596476,0.0,2.568156819829264,0.0966573797692372,10,25.8555688292344,23.38579950322209
val_images,upright,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,26.1032125134576,23.911001776551096,0.748418479924029,0.6659437975223607,0.0027524396388509,0.0045858521596476,0.0,2.1922107369064987,0.0824746824016683,10,25.60282196353087,23.38579950322209
val_images,rot45_padded,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.921568627450981,1.4142135623730951,0.01,G16_fixed,16,20,27.109224321221184,23.473969875493264,0.8256034240169086,0.6735075017410599,0.0022730469141453,0.0049451981322324,0.0,3.635254445727919,0.1520959222758486,10,26.43391600639217,23.05816303457812
val_images,rot45_padded,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,27.09965382119144,23.473969875493264,0.8242188107346463,0.6735075017410599,0.0022756742510532,0.0049451981322324,0.0,3.6256839456981753,0.1507113089935864,10,26.42889904445216,23.05816303457812
val_images,upright,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.921568627450981,1.4142135623730951,0.01,G16_fixed,16,20,27.529374086015235,23.911001776551096,0.8252211469647218,0.6659437975223607,0.0021194697758994,0.0045858521596476,0.0,3.61837230946414,0.1592773494423611,10,26.73772772185487,23.38579950322209
val_images,upright,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,27.50735046961456,23.911001776551096,0.8242100874913374,0.6659437975223607,0.002124691336264,0.0045858521596476,0.0,3.596348693063464,0.1582662899689769,10,26.72704152999052,23.38579950322209
val_images,rot45_padded,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,22.50219157370265,9.684471187083725,0.585159208283396,0.1196315292275362,0.006157762676238,0.1300656649077238,0.0,12.81772038661892,0.4655276790558597,10,22.10577053072701,8.858373345616485
val_images,rot45_padded,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,21.30869952690883,9.684471187083725,0.5281479247983609,0.1196315292275362,0.0089492059229692,0.1300656649077238,0.0,11.624228339825104,0.4085163955708247,10,20.482154986027854,8.858373345616485
val_images,upright,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,22.21257531686899,9.676728600316794,0.5759267998790487,0.1098877710525271,0.0065213173800991,0.1302500358871745,0.0,12.535846716552197,0.4660390288265216,10,21.85664662992732,8.852221483693231
val_images,upright,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,16.458011083888042,9.676728600316794,0.4327939213982584,0.1098877710525271,0.0586356952697946,0.1302500358871745,0.0,6.781282483571249,0.3229061503457312,10,12.3183792085666,8.852221483693231
val_images,rot45_padded,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,9.789564838891414,9.684471187083725,0.1251529114924122,0.1196315292275362,0.1277640669665271,0.1300656649077238,0.0,0.105093651807691,0.0055213822648759,10,8.93591272253036,8.858373345616485
val_images,rot45_padded,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,9.774389750681332,9.684471187083725,0.1242772384133478,0.1196315292275362,0.1281497066643115,0.1300656649077238,0.0,0.0899185635976109,0.0046457091858115,10,8.92282383582091,8.858373345616485
val_images,upright,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,G16_fixed,16,20,9.782237189016636,9.676728600316794,0.1151335398825541,0.1098877710525271,0.1279348014539859,0.1302500358871745,0.0,0.1055085886998437,0.005245768830027,10,8.930113005288618,8.852221483693231
val_images,upright,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,9.711664478843376,9.676728600316794,0.1116023348901561,0.1098877710525271,0.1294927782405878,0.1302500358871745,0.0,0.0349358785265808,0.0017145638376289,10,8.877544513334456,8.852221483693231
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,25.42801588311456,23.473969875493264,0.757647413108966,0.6735075017410599,0.0032489730941721,0.0049451981322324,0.0,1.9540460076212909,0.0841399113679061,10,24.882538851773223,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,25.289182044701725,23.473969875493264,0.7696763653148484,0.6735075017410599,0.003324461435524,0.0049451981322324,0.0,1.81521216920846,0.0961688635737885,10,24.78278700593843,23.05816303457812
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,25.876629334646758,23.911001776551096,0.7598851519339254,0.6659437975223607,0.0029783875369921,0.0045858521596476,0.0,1.9656275580956564,0.0939413544115647,10,25.260187940831344,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,26.082072655173988,23.911001776551096,0.7817509429585948,0.6659437975223607,0.0028812281826819,0.0045858521596476,0.0,2.1710708786228965,0.1158071454362342,10,25.404223458308607,23.38579950322209
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,G16_fixed,16,20,27.06918543830518,23.473969875493264,0.8239238782310832,0.6735075017410599,0.0022781828272123,0.0049451981322324,0.0,3.5952155628119136,0.1504163764900233,10,26.424114261465757,23.05816303457812
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,vanilla,0,20,27.004151261066816,23.473969875493264,0.8223030375421093,0.6735075017410599,0.0023023062550548,0.0049451981322324,0.0,3.5301813855735547,0.1487955358010494,10,26.378369065820813,23.05816303457812
val_images,upright,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,G16_fixed,16,20,27.47687368201333,23.911001776551096,0.8208846354217265,0.6659437975223607,0.0021302335070098,0.0045858521596476,0.0,3.565871905462238,0.1549408378993659,10,26.715727884638294,23.38579950322209
val_images,upright,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,vanilla,0,20,27.482974792565063,23.911001776551096,0.8203937008989579,0.6659437975223607,0.0021285833844159,0.0045858521596476,0.0,3.5719730160139647,0.1544499033765973,10,26.71909332246343,23.38579950322209
