dataset,input_pose,input_angle_deg,problem,algorithm,denoiser,denoiser_sigma,mode,sampling,base_group_size,sample_size,group_expand,num_iter,mean_final_se,mean_final_psnr,mean_degraded_se,mean_degraded_psnr,total_group_evals,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,45.0,blur,pnp_hqs,tv,15.0,vanilla,none,0,0,False,20,0.0013761023518886269,29.102968402130937,0.0014056326593526037,28.8898617208145,0,10,28.61349262897516,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,wavelet,15.0,vanilla,none,0,0,False,20,0.001720819179845868,27.872115623912673,0.0014056326593526037,28.8898617208145,0,10,27.64264762049462,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,tv,15.0,vanilla,none,0,0,False,20,0.0008120654861466375,31.512267726429723,0.0014056326593526037,28.8898617208145,0,10,30.904089472054224,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,wavelet,15.0,vanilla,none,0,0,False,20,0.0010373967881730616,30.28845803425471,0.0014056326593526037,28.8898617208145,0,10,29.840551009355277,28.521281607246003
val_images,rot45_padded,45.0,inpaint,pnp_hqs,tv,15.0,vanilla,none,0,0,False,20,0.00152667849367286,28.57824744620417,0.03445523701920814,15.460987484530131,0,10,28.162524122723664,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,wavelet,15.0,vanilla,none,0,0,False,20,0.002339493234167896,26.795004073614898,0.03445523701920814,15.460987484530131,0,10,26.30878206452907,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,tv,15.0,vanilla,none,0,0,False,20,0.01587539143145201,19.121988709378524,0.03445523701920814,15.460987484530131,0,10,17.99275557725821,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,wavelet,15.0,vanilla,none,0,0,False,20,0.027146807348175973,17.57838457511541,0.03445523701920814,15.460987484530131,0,10,15.662812390990975,14.627447582066965
val_images,upright,0.0,blur,pnp_hqs,tv,15.0,vanilla,none,0,0,False,20,0.0047003852693793145,23.879370330521734,0.004615378748072558,23.874842116311157,0,10,23.27866543445549,23.357926540208148
val_images,upright,0.0,blur,pnp_hqs,wavelet,15.0,vanilla,none,0,0,False,20,0.004878447324577611,23.649846321542093,0.004615378748072558,23.874842116311157,0,10,23.117183799778694,23.357926540208148
val_images,upright,0.0,blur,red_gd,tv,15.0,vanilla,none,0,0,False,20,0.0027485503003750944,26.426228003257002,0.004615378748072558,23.874842116311157,0,10,25.60896310735562,23.357926540208148
val_images,upright,0.0,blur,red_gd,wavelet,15.0,vanilla,none,0,0,False,20,0.0030573065682611366,25.744505914939246,0.004615378748072558,23.874842116311157,0,10,25.14661010659377,23.357926540208148
val_images,upright,0.0,inpaint,pnp_hqs,tv,15.0,vanilla,none,0,0,False,20,0.004910749529970346,23.58090485369081,0.12888757743575008,9.730675701157908,0,10,23.088522162503526,8.897889392105377
val_images,upright,0.0,inpaint,pnp_hqs,wavelet,15.0,vanilla,none,0,0,False,20,0.05743081941618798,16.603572199005267,0.12888757743575008,9.730675701157908,0,10,12.408549872119544,8.897889392105377
val_images,upright,0.0,inpaint,red_gd,tv,15.0,vanilla,none,0,0,False,20,0.058756041372362434,13.453392945574247,0.12888757743575008,9.730675701157908,0,10,12.309474720385648,8.897889392105377
val_images,upright,0.0,inpaint,red_gd,wavelet,15.0,vanilla,none,0,0,False,20,0.12207733986042471,10.064712002092573,0.12888757743575008,9.730675701157908,0,10,9.13364942827315,8.897889392105377
