dataset,eval_mask,file,image_index,input_pose,input_angle_deg,input_rotate_expand,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.006629606197055178,21.785122682053828,0.52085714015292,0.00319529817606925,24.95488608498002,0.7242070252620778,3.1697634029261934,0.20334988510915786,True,20,20
val_images_circle,circle,test001.png,0,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,G16_fixed,True,16,20,0.006629606197055178,21.785122682053828,0.52085714015292,0.0032358773648429387,24.900079458920338,0.720813322083766,3.11495677686651,0.19995618193084608,True,20,320
val_images_circle,circle,test001.png,0,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,False,0,20,0.00729424411408686,21.370197063873547,0.5189611750151454,0.003271598094793367,24.852400533913645,0.7274997140931964,3.4822034700400977,0.20853853907805098,True,20,20
val_images_circle,circle,test001.png,0,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,G16_fixed,False,16,20,0.00729424411408686,21.370197063873547,0.5189611750151454,0.003261791932120509,24.86543745813817,0.7282646596781771,3.4952403942646235,0.20930348466303172,True,20,320
val_images_circle,circle,test002.png,1,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.005741449301470247,22.409784657583952,0.6100910878856994,0.0025811528544135236,25.88186276020764,0.7825618861413984,3.472078102623687,0.172470798255699,True,20,20
val_images_circle,circle,test002.png,1,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,G16_fixed,True,16,20,0.005741449301470247,22.409784657583952,0.6100910878856994,0.0025748910391324236,25.892411441391996,0.7837162030083321,3.482626783808044,0.17362511512263268,True,20,320
val_images_circle,circle,test002.png,1,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,False,0,20,0.006521475482670571,21.856541341014015,0.601482571662154,0.002769234116102213,25.576403266548276,0.7732117205562355,3.7198619255342606,0.17172914889408153,True,20,20
val_images_circle,circle,test002.png,1,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,G16_fixed,False,16,20,0.006521475482670571,21.856541341014015,0.601482571662154,0.0027619449565532738,25.587849808274026,0.7738808487259374,3.7313084672600105,0.1723982770637834,True,20,320
val_images_circle,circle,test003.png,2,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.008431096273378007,20.741159515289933,0.6219194072034318,0.004206871836662811,23.760407186647182,0.7943350103378579,3.019247671357249,0.17241560313442617,True,20,20
val_images_circle,circle,test003.png,2,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,G16_fixed,True,16,20,0.008431096273378007,20.741159515289933,0.6219194072034318,0.004203489294440234,23.76390054318295,0.7961719020422291,3.022741027893016,0.17425249483879734,True,20,320
val_images_circle,circle,test003.png,2,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,False,0,20,0.008876490156402612,20.517587242021456,0.6202620123357195,0.004286242765278048,23.679232349192798,0.7929584148554084,3.161645107171342,0.17269640251968887,True,20,20
val_images_circle,circle,test003.png,2,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,G16_fixed,False,16,20,0.008876490156402612,20.517587242021456,0.6202620123357195,0.004272709204334888,23.692966637590334,0.7941162891151416,3.1753793955688785,0.1738542767794221,True,20,320
val_images_circle,circle,test004.png,3,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.002775769756448992,25.56616560425646,0.7580479122626465,0.0011549385024397403,29.374411402412107,0.8926809820501409,3.808245798155646,0.13463306978749445,True,20,20
val_images_circle,circle,test004.png,3,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,G16_fixed,True,16,20,0.002775769756448992,25.56616560425646,0.7580479122626465,0.0011983823453213466,29.214045976636314,0.8919949786443653,3.647880372379852,0.13394706638171883,True,20,320
val_images_circle,circle,test004.png,3,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,False,0,20,0.0031912173679883287,24.96043613072945,0.7583175215280096,0.0012001020713247647,29.20781814679115,0.8863172730981789,4.2473820160616995,0.1279997515701693,True,20,20
val_images_circle,circle,test004.png,3,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,G16_fixed,False,16,20,0.0031912173679883287,24.96043613072945,0.7583175215280096,0.0011893838676083916,29.246779564170087,0.88810979284893,4.286343433440635,0.12979227132092042,True,20,320
val_images_circle,circle,test005.png,4,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,True,0,20,0.007105301945321385,21.48417461663243,0.6256857136676062,0.00302372319239841,25.194579689632768,0.8043668564258517,3.710405073000338,0.17868114275824554,True,20,20
val_images_circle,circle,test005.png,4,upright,0.0,False,321,321,80892.0,0.7850467562675476,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,G16_fixed,True,16,20,0.007105301945321385,21.48417461663243,0.6256857136676062,0.0030160755005999513,25.205577910902175,0.804968401155244,3.721403294269745,0.17928268748763787,True,20,320
val_images_circle,circle,test005.png,4,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,False,0,20,0.007667706857919,21.153344988745356,0.6349260370689762,0.0032145721838131545,24.928768176300498,0.797448552229764,3.775423187555141,0.16252251516078775,True,20,20
val_images_circle,circle,test005.png,4,rot45_padded,45.0,False,321,321,80883.0,0.7849593758583069,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,G16_fixed,False,16,20,0.007667706857919,21.153344988745356,0.6349260370689762,0.0032060971539571432,24.940233214116354,0.7982007962118122,3.7868882253709977,0.16327475914283596,True,20,320
