dataset,input_pose,input_angle_deg,problem,algorithm,denoiser,denoiser_sigma,mode,sampling,base_group_size,sample_size,group_expand,num_iter,mean_final_se,mean_final_psnr,mean_degraded_se,mean_degraded_psnr,total_group_evals,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,45.0,blur,pnp_hqs,wavelet,15.0,G16_fixed,fixed,16,16,False,20,0.0015382529330303027,28.489699497236085,0.0014056326593526037,28.8898617208145,320,10,28.129722481575925,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,wavelet,15.0,G1_random,random,16,1,False,20,0.0016834673306562094,28.07660892500519,0.0014056326593526037,28.8898617208145,20,10,27.73795307106841,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,wavelet,15.0,G2_random,random,16,2,False,20,0.0016181964121682365,28.28242335212701,0.0014056326593526037,28.8898617208145,40,10,27.909687660711803,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,wavelet,15.0,G4_random,random,16,4,False,20,0.0015808123829473178,28.36096298906955,0.0014056326593526037,28.8898617208145,80,10,28.011196707924878,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,wavelet,15.0,G16_fixed,fixed,16,16,False,20,0.0008946828632234177,31.018434785769905,0.0014056326593526037,28.8898617208145,320,10,30.483308810637443,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,wavelet,15.0,G1_random,random,16,1,False,20,0.0008987409404627485,30.99152213483047,0.0014056326593526037,28.8898617208145,20,10,30.46365474385826,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,wavelet,15.0,G2_random,random,16,2,False,20,0.0008993558845866929,30.998211250442882,0.0014056326593526037,28.8898617208145,40,10,30.460684193592,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,wavelet,15.0,G4_random,random,16,4,False,20,0.0008998075024533789,30.99490651995302,0.0014056326593526037,28.8898617208145,80,10,30.45850390076298,28.521281607246003
val_images,rot45_padded,45.0,inpaint,pnp_hqs,wavelet,15.0,G16_fixed,fixed,16,16,False,20,0.0018069919044995247,27.69717075991407,0.03445523701920814,15.460987484530131,320,10,27.430437931164672,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,wavelet,15.0,G1_random,random,16,1,False,20,0.0018557732788347266,27.590593753539242,0.03445523701920814,15.460987484530131,20,10,27.314750829476836,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,wavelet,15.0,G2_random,random,16,2,False,20,0.0018332577693870526,27.65559339863184,0.03445523701920814,15.460987484530131,40,10,27.367764657788133,14.627447582066965
