dataset,input_pose,input_angle_deg,problem,algorithm,denoiser,denoiser_sigma,mode,sampling,base_group_size,sample_size,group_expand,num_iter,mean_final_se,mean_final_psnr,mean_degraded_se,mean_degraded_psnr,total_group_evals,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,45.0,blur,pnp_hqs,wavelet,50.0,G16_fixed,fixed,16,16,False,20,0.0028243181223459963,25.686289288023175,0.0014056326593526037,28.8898617208145,320,10,25.490863872950715,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,wavelet,50.0,G1_random,random,16,1,False,20,0.003177217352737266,25.13272806953821,0.0014056326593526037,28.8898617208145,20,10,24.97953074167006,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,wavelet,50.0,G2_random,random,16,2,False,20,0.0029472270318139015,25.45987199105486,0.0014056326593526037,28.8898617208145,40,10,25.30586408138452,28.521281607246003
val_images,rot45_padded,45.0,blur,pnp_hqs,wavelet,50.0,G4_random,random,16,4,False,20,0.002848868679547941,25.649476323892333,0.0014056326593526037,28.8898617208145,80,10,25.453275693853485,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,wavelet,50.0,G16_fixed,fixed,16,16,False,20,0.000949097839562142,30.738535289760684,0.0014056326593526037,28.8898617208145,320,10,30.226890151894278,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,wavelet,50.0,G1_random,random,16,1,False,20,0.0009547037644789117,30.700172612228254,0.0014056326593526037,28.8898617208145,20,10,30.201313649712915,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,wavelet,50.0,G2_random,random,16,2,False,20,0.0009527311392835764,30.718764317692536,0.0014056326593526037,28.8898617208145,40,10,30.21029639969749,28.521281607246003
val_images,rot45_padded,45.0,blur,red_gd,wavelet,50.0,G4_random,random,16,4,False,20,0.0009521378471234054,30.72614287795549,0.0014056326593526037,28.8898617208145,80,10,30.213001714566797,28.521281607246003
val_images,rot45_padded,45.0,inpaint,pnp_hqs,wavelet,50.0,G16_fixed,fixed,16,16,False,20,0.003429779281624256,24.78845415054834,0.03445523701920814,15.460987484530131,320,10,24.64733827437385,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,wavelet,50.0,G1_random,random,16,1,False,20,0.0037085189651637337,24.42495922798328,0.03445523701920814,15.460987484530131,20,10,24.307994956882126,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,wavelet,50.0,G2_random,random,16,2,False,20,0.0034957153101813805,24.68867222793999,0.03445523701920814,15.460987484530131,40,10,24.56463943386522,14.627447582066965
val_images,rot45_padded,45.0,inpaint,pnp_hqs,wavelet,50.0,G4_random,random,16,4,False,20,0.0034573944735833777,24.752276195701263,0.03445523701920814,15.460987484530131,80,10,24.612510665302445,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,wavelet,50.0,G16_fixed,fixed,16,16,False,20,0.009980221460521996,20.61418163599226,0.03445523701920814,15.460987484530131,320,10,20.008598216369222,14.627447582066965
val_images,rot45_padded,45.0,inpaint,red_gd,wavelet,50.0,G1_random,random,16,1,False,20,0.009991177484432357,20.610953426678115,0.03445523701920814,15.460987484530131,20,10,20.003833261026536,14.627447582066965
