dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,degraded_ssim,iteration,se,psnr,ssim,effective_denoiser_sigma,sampled_angles
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,17,0.09940517103192337,10.02591023125651,0.18952144598318663,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,18,0.09937092831733603,10.02740653007578,0.18965701272579194,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,19,0.09933666030336591,10.028904450675979,0.1897769823989158,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09998868864596085,10.000491273649581,0.18736299119257646,20,0.09930244288816134,10.030400675187323,0.18991122092392537,5.0,none
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,1,0.09988408834787339,10.005036898831284,0.18764736890467032,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,2,0.0997795386485515,10.009585084430539,0.18807864748285308,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,3,0.09967512809583487,10.014131975388711,0.18837457436318417,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,4,0.0995707681418838,10.01868142480103,0.18879462001541442,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,5,0.0994665283600009,10.02323039798356,0.1891002492090401,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,6,0.09936235815142065,10.027781100016677,0.18951084554180347,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,7,0.09925830179006288,10.032331594179007,0.18982462113668305,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,8,0.09915430235231637,10.03688436805806,0.19022714696634088,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,9,0.09905041043694665,10.0414372052794,0.19054782929271832,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,10,0.09894659441972527,10.045991489075446,0.19094352428902664,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,11,0.09884287960003497,10.050546107387133,0.1912699622249856,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,12,0.09873923435364731,10.055102447210578,0.19165980041418126,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,13,0.09863567765509938,10.059659673497606,0.19199114643039877,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,14,0.09853219685469977,10.06421834157014,0.1923760638896445,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
val_images,test001.png,0,upright,0.0,481,321,154401.0,1.0,inpaint,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,G16_fixed,True,16,20,0.09998868864596085,10.000491273649581,0.18736299119257646,15,0.09842881725183127,10.06877733466771,0.19271148310648895,5.0,0;22.5;45;67.5;90;112.5;135;157.5;180;202.5;225;247.5;270;292.5;315;337.5
