dataset,input_pose,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,25.428015883114558,23.473969875493264,0.757647413108966,0.6735075017410599,0.0032489730941721055,0.004945198132232484,0.0,1.9540460076212907,0.08413991136790619,10,24.882538851773223,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,25.289182044701725,23.473969875493264,0.7696763653148484,0.6735075017410599,0.0033244614355240993,0.004945198132232484,0.0,1.81521216920846,0.09616886357378855,10,24.78278700593843,23.05816303457812
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,25.876629334646754,23.911001776551096,0.7598851519339254,0.6659437975223607,0.002978387536992125,0.004585852159647656,0.0,1.9656275580956564,0.0939413544115647,10,25.260187940831344,23.38579950322209
val_images,upright,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,26.082072655173988,23.911001776551096,0.7817509429585948,0.6659437975223607,0.0028812281826819603,0.004585852159647656,0.0,2.1710708786228965,0.11580714543623423,10,25.404223458308607,23.38579950322209
