dataset,input_pose,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,upright,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.846153846153847,1.4142135623730951,0.02,vanilla,0,20,13.624996820572983,9.715716015148704,0.0570103932798543,0.129267911918437,0.0,3.909280805424277,10,12.440459630533764,8.885092663511303
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,29.7402310361315,28.959984049555874,0.0012032698577727,0.0013868018804579,0.0999999999999999,0.7802469865756283,10,29.196369623537414,28.57985578126147
val_images,rot45_padded,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.71678388583402,28.959984049555874,0.0012080231348312,0.0013868018804579,0.1999999999999999,0.756799836278141,10,29.179247484687508,28.57985578126147
val_images,upright,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,24.26358765645053,23.911559607575157,0.0042972590276973,0.0045853180648705,0.3,0.3520280488753745,10,23.66808467375177,23.3863053370668
val_images,upright,blur,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,24.468989223500884,23.911559607575157,0.0041470199751668,0.0045853180648705,0.1999999999999999,0.557429615925729,10,23.822638727421165,23.3863053370668
val_images,rot45_padded,blur,red_gd,tv,15.0,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,G16_fixed,16,20,32.800441077256394,28.959984049555874,0.000608921267964,0.0013868018804579,0.0,3.8404570277005208,10,32.154388569553035,28.57985578126147
val_images,rot45_padded,blur,red_gd,tv,15.0,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,vanilla,0,20,32.79175746901606,28.959984049555874,0.000609880290048,0.0013868018804579,0.0,3.831773419460184,10,32.14755401831164,28.57985578126147
val_images,upright,blur,red_gd,tv,15.0,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,G16_fixed,16,20,27.565729831848564,23.911559607575157,0.002108686620779,0.0045853180648705,0.0,3.65417022427341,10,26.75987957471972,23.3863053370668
val_images,upright,blur,red_gd,tv,15.0,fixed3p25,0.8,3.960396039603961,1.4142135623730951,0.005,vanilla,0,20,27.584036168985364,23.911559607575157,0.0021041251408044,0.0045853180648705,0.0,3.672476561410208,10,26.769284345065856,23.3863053370668
val_images,rot45_padded,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,28.301939898984337,15.447961538512782,0.0015947445044063,0.0345461151806099,0.0,12.85397836047155,10,27.97308885782057,14.616007833254908
val_images,rot45_padded,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,26.9940181738201,15.447961538512782,0.0023162207949043,0.0345461151806099,0.0,11.546056635307313,10,26.352200436328296,14.616007833254908
val_images,upright,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,16,20,22.442689439557395,9.715716015148704,0.0061261724671541,0.129267911918437,0.0,12.726973424408689,10,22.128107808759964,8.885092663511303
