dataset,file,image_index,model,sigma,input_pose,input_angle_deg,input_pad,input_rotate_expand,input_height,input_width,eval_mask,eval_mask_pixels,eval_mask_fraction,group,group_size,group_expand,group_expand_policy,noisy_psnr,noisy_ssim,vanilla_psnr,vanilla_ssim,group_avg_psnr,group_avg_ssim,group_avg_minus_vanilla_psnr,group_avg_minus_vanilla_ssim,group_avg_vs_vanilla_mse,group_avg_vs_vanilla_psnr
val_images_circle,test001.png,0,restormer,15.0,upright,0.0,100,False,521,521,circle,80892.0,0.2980095148086548,fourier_rotation,16,True,downstream,24.58855031551589,0.7375510615233892,28.95496857483158,0.848475822701874,27.42880027585177,0.8209083948350887,-1.5261682989798082,-0.027567427866785343,0.0005605357906287038,32.51396652156784
val_images_circle,test001.png,0,restormer,15.0,rot30_padded,30.0,100,False,521,521,circle,80896.0,0.2980242371559143,fourier_rotation,16,False,downstream,24.611650068337983,0.741538760028308,28.80018907554671,0.8460050172443632,28.825079477826346,0.8467142612119264,0.02489040227963457,0.0007092439675632223,9.618923539602303e-06,50.168735274392034
val_images_circle,test001.png,0,restormer,15.0,rot45_padded,45.0,100,False,521,521,circle,80887.0,0.2979910969734192,fourier_rotation,16,False,downstream,24.60157594128152,0.7421604560992495,28.771374330801933,0.8445465394624599,28.811531418792484,0.8454188984323809,0.04015708799055062,0.0008723589699209944,8.53484838275074e-06,50.68804189501746
val_images_circle,test001.png,0,restormer,15.0,rot60_padded,60.0,100,False,521,521,circle,80896.0,0.2980242371559143,fourier_rotation,16,False,downstream,24.610865567445384,0.7414403022090091,28.791315344614553,0.8449518710752076,28.81767975815597,0.8452986705152294,0.026364413541415388,0.0003467994400218055,9.295487145692864e-06,50.31727845360345
val_images_circle,test002.png,1,restormer,15.0,upright,0.0,100,False,521,521,circle,80892.0,0.2980095148086548,fourier_rotation,16,True,downstream,24.620467281362366,0.6241164434523809,31.00060393287858,0.9024850456472828,28.43556768630471,0.8066569952065717,-2.565036246573868,-0.09582805044071108,0.0006680365268503742,31.751997905546013
val_images_circle,test002.png,1,restormer,15.0,rot30_padded,30.0,100,False,521,521,circle,80896.0,0.2980242371559143,fourier_rotation,16,False,downstream,24.646020236525086,0.6312538822994956,30.73684693420017,0.8948154690899427,30.80293690110668,0.8963297590424743,0.06608996690651026,0.0015142899525315556,1.5268973192742352e-05,48.16190167378406
val_images_circle,test002.png,1,restormer,15.0,rot45_padded,45.0,100,False,521,521,circle,80887.0,0.2979910969734192,fourier_rotation,16,False,downstream,24.58611920561222,0.6283644061313932,30.58668873376402,0.892251883800858,30.682366336470494,0.8943088622090076,0.09567760270647341,0.002056978408149668,1.379864438125671e-05,48.60163577849378
val_images_circle,test002.png,1,restormer,15.0,rot60_padded,60.0,100,False,521,521,circle,80896.0,0.2980242371559143,fourier_rotation,16,False,downstream,24.64143350433888,0.6289126239245451,30.636515104643742,0.8926598271237144,30.687794692731124,0.8943467924866495,0.05127958808738242,0.0016869653629351111,1.5317201555435417e-05,48.148205728266106
val_images_circle,test003.png,2,restormer,15.0,upright,0.0,100,False,521,521,circle,80892.0,0.2980095148086548,fourier_rotation,16,True,downstream,24.578428544562474,0.6528410372780992,31.11979409203971,0.9088860378653019,28.076092967421747,0.7802842061019631,-3.0437011246179644,-0.12860183176333873,0.0008127592334182363,30.900380879655657
val_images_circle,test003.png,2,restormer,15.0,rot30_padded,30.0,100,False,521,521,circle,80896.0,0.2980242371559143,fourier_rotation,16,False,downstream,24.601408237403504,0.66110833083527,30.613074160687933,0.9025846070881132,30.728576637325276,0.9045018063315863,0.11550247663734226,0.001917199243473111,2.1492281362791603e-05,46.67717482568821
val_images_circle,test003.png,2,restormer,15.0,rot45_padded,45.0,100,False,521,521,circle,80887.0,0.2979910969734192,fourier_rotation,16,False,downstream,24.62571621590035,0.6634926946697244,30.569652504513115,0.9024009768256951,30.740613374230918,0.9051639942141506,0.17096086971780267,0.0027630173884555242,2.1300885972299102e-05,46.716023324824576
val_images_circle,test003.png,2,restormer,15.0,rot60_padded,60.0,100,False,521,521,circle,80896.0,0.2980242371559143,fourier_rotation,16,False,downstream,24.668061517553205,0.6639560264877126,30.65876552328192,0.9038126498838014,30.771820069032447,0.9052859921998615,0.11305454575052565,0.0014733423160601111,2.0017779632648335e-05,46.98584096025843
val_images_circle,test004.png,3,restormer,15.0,upright,0.0,100,False,521,521,circle,80892.0,0.2980095148086548,fourier_rotation,16,True,downstream,24.622966670423597,0.5536256578988034,33.57085643941097,0.9242180159966374,28.62862443299062,0.7257844564357415,-4.9422320064203475,-0.19843355956089592,0.0009344330422515031,30.294518129823395
