dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,iteration,se,psnr,effective_denoiser_sigma,sampled_angles
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,1,0.09517720239916899,10.214670648289157,3.25,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,2,0.09126253353881678,10.397074789486862,3.25,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,3,0.08755934189635797,10.576975112870015,3.25,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,4,0.08393483592090263,10.760577542101439,3.25,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,5,0.0805010920862156,10.94198227907907,3.25,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,6,0.07714959501423325,11.126663493616284,3.25,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,7,0.07397071936815056,11.309401577466645,3.25,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,8,0.07087455222542295,11.495096718964586,3.25,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,9,0.06793516184654969,11.67905385610891,3.25,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,10,0.06507839141803008,11.865631903219489,3.25,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,11,0.06236436210263485,12.050635155029417,3.25,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,12,0.05973166239385784,12.237953982207406,3.25,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,13,0.05722922415021504,12.423821417303383,3.25,none
val_images,test001.png,0,upright,0.0,481,321,inpaint,red_gd,tv,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,True,0,20,0.09916350431248057,10.036481342168242,14,0.0548058890377254,12.611727729175698,3.25,none
