dataset,file,image_index,input_pose,input_angle_deg,input_height,input_width,eval_mask_pixels,eval_mask_fraction,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,group_expand,base_group_size,num_iter,degraded_se,degraded_psnr,degraded_ssim,final_se,final_psnr,final_ssim,gap_psnr,gap_ssim,beats_degraded,total_denoiser_calls,total_group_evals
val_images,test005.png,4,upright,0.0,321,481,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.2809441810610035,5.513799586189751,0.05179644465749898,0.010997629043043763,19.587009334335693,0.5089960051262621,14.073209748145942,0.4571995604687631,True,20,320
val_images,test005.png,4,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.2814709981941565,5.505663467206643,0.06134399192634102,0.0301531259616319,15.206676580672905,0.34363716008842965,9.701013113466262,0.2822931681620886,True,20,20
val_images,test005.png,4,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.2814709981941565,5.505663467206643,0.06134399192634102,0.010427674557699938,19.818125313971315,0.5213621971365638,14.312461846764672,0.46001820521022285,True,20,320
val_images,test006.png,5,upright,0.0,321,481,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.2497476386568092,6.024986093008419,0.03623561021706466,0.1558791869466519,8.072118681186561,0.0821311572625825,2.047132588178142,0.045895547045517834,True,20,20
val_images,test006.png,5,upright,0.0,321,481,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.2497476386568092,6.024986093008419,0.03623561021706466,0.0040960926153226825,23.87630232240026,0.762859575067519,17.85131622939184,0.7266239648504543,True,20,320
val_images,test006.png,5,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.2486030525233221,6.044935430881965,0.04646019501894921,0.006291531663881308,22.01243613347247,0.60966419814071,15.967500702590504,0.5632040031217609,True,20,20
val_images,test006.png,5,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.2486030525233221,6.044935430881965,0.04646019501894921,0.003333366099464118,24.771169856957066,0.7749205894499871,18.726234426075102,0.7284603944310379,True,20,320
val_images,test007.png,6,upright,0.0,321,481,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.06195452000796627,12.079270033652627,0.1499739315159876,0.005567739527472296,22.543210902846145,0.6599080377555845,10.463940869193518,0.5099341062395969,True,20,20
val_images,test007.png,6,upright,0.0,321,481,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.06195452000796627,12.079270033652627,0.1499739315159876,0.006547925373449249,21.838962788758387,0.5132855660747015,9.75969275510576,0.36331163455871396,True,20,320
val_images,test007.png,6,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.06208865562848212,12.069877435918123,0.15870011154930033,0.006643864971950716,21.7757920261026,0.5260112318605856,9.705914590184477,0.3673111203112853,True,20,20
val_images,test007.png,6,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.06208865562848212,12.069877435918123,0.15870011154930033,0.006482894830241602,21.882310237489726,0.5231187949436382,9.812432801571603,0.3644186833943379,True,20,320
val_images,test008.png,7,upright,0.0,321,481,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.05645913987765623,12.482657423639672,0.19056112411836712,0.00958822651858027,20.182617144582203,0.5672761692767534,7.69995972094253,0.3767150451583863,True,20,20
val_images,test008.png,7,upright,0.0,321,481,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.05645913987765623,12.482657423639672,0.19056112411836712,0.009725820374230493,20.120737556603856,0.38472612001379525,7.638080132964184,0.19416499589542813,True,20,320
val_images,test008.png,7,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.056871808900459966,12.451029580851918,0.1977085956732638,0.009794614722179483,20.090126426015885,0.4133739209477844,7.639096845163968,0.21566532527452062,True,20,20
val_images,test008.png,7,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.056871808900459966,12.451029580851918,0.1977085956732638,0.009676475554557933,20.142827961963455,0.3901007840842835,7.691798381111537,0.1923921884110197,True,20,320
val_images,test009.png,8,upright,0.0,321,481,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.05062825514508488,12.956070399036845,0.18533275367387517,0.004697328098663343,23.28149104184959,0.7080385449252272,10.325420642812746,0.5227057912513521,True,20,20
val_images,test009.png,8,upright,0.0,321,481,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.05062825514508488,12.956070399036845,0.18533275367387517,0.005208011556808651,22.833280607200763,0.605322595465703,9.877210208163918,0.41998984179182786,True,20,320
val_images,test009.png,8,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.04999092143568606,13.011088582314898,0.1941674241626717,0.00520178168880782,22.83847878463795,0.6084515803154963,9.827390202323052,0.4142841561528246,True,20,20
val_images,test009.png,8,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.04999092143568606,13.011088582314898,0.1941674241626717,0.005100614217069675,22.923775229173003,0.6116950634879502,9.912686646858106,0.41752763932527853,True,20,320
val_images,test010.png,9,upright,0.0,321,481,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,True,0,20,0.08486813303913188,10.712553514903805,0.07036741863516104,0.007398013096529087,21.30884904198608,0.5859130607962384,10.596295527082274,0.5155456421610773,True,20,20
val_images,test010.png,9,upright,0.0,321,481,154401.0,1.0,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,True,16,20,0.08486813303913188,10.712553514903805,0.07036741863516104,0.0036458976095776986,24.381955321209237,0.6043740710066645,13.669401806305432,0.5340066523715035,True,20,320
val_images,test010.png,9,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,False,0,20,0.08462250001012245,10.725141484142886,0.08101387508300402,0.004736707321131406,23.245234492903073,0.5263670862755895,12.520093008760186,0.4453532111925855,True,20,20
val_images,test010.png,9,rot45_padded,45.0,1000,1000,154360.0,0.15435999631881714,inpaint,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,G16_fixed,False,16,20,0.08462250001012245,10.725141484142886,0.08101387508300402,0.003518681898114594,24.536199932210625,0.6109033367614667,13.811058448067739,0.5298894616784626,True,20,320
