dataset,denoiser,noise_sigma,angle_index,angle_deg,estimator,group_size,mean_se,mean_psnr,n,psnr_from_mean_se,save_dir
val_images,nlm,15.0,6,30.0,group_avg,32,0.0002558861652906,36.2630978530536,20,35.91953193989124,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,6,30.0,vanilla,0,0.0002670477043309,36.08263280428372,20,35.734111510806045,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,7,35.0,group_avg,4,0.0002339667126398,36.66143389516381,20,36.308459269709005,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,7,35.0,group_avg,8,0.0002336316304333,36.6575047397612,20,36.31468360220924,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,7,35.0,group_avg,16,0.000232587628973,36.67782071832208,20,36.33413388539753,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,7,35.0,group_avg,32,0.0002318583345176,36.69350202159816,20,36.34777288079812,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,7,35.0,vanilla,0,0.0002417775063732,36.51636242612802,20,36.16584105925159,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,8,40.0,group_avg,4,0.0002147072589212,37.0364638273647,20,36.68153272488922,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,8,40.0,group_avg,8,0.0002144569707838,37.03033945228048,20,36.68659832736768,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,8,40.0,group_avg,16,0.000213695298027,37.04639003020977,20,36.7020503358408,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,8,40.0,group_avg,32,0.0002134584423112,37.0505638332446,20,36.706866641128855,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,8,40.0,vanilla,0,0.0002218080927943,36.89215578386511,20,36.54022612416839,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,9,45.0,group_avg,4,0.0001985993263244,37.37579068870737,20,37.02022229023239,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,9,45.0,group_avg,8,0.0001955989349365,37.444183056612886,20,37.086335143359946,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,9,45.0,group_avg,16,0.0001964366104125,37.41726582119831,20,37.06777568389983,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,9,45.0,group_avg,32,0.0001969611595153,37.40200472109756,20,37.05619407702517,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,9,45.0,vanilla,0,0.000205136389923,37.23595009416821,20,36.87957291650387,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,10,50.0,group_avg,4,0.0002148667513577,37.03186743631961,20,36.67830782363442,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,10,50.0,group_avg,8,0.0002143204668444,37.03414108808884,20,36.68936353395024,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,10,50.0,group_avg,16,0.0002136084025799,37.048421450971055,20,36.70381667737404,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,10,50.0,group_avg,32,0.0002134249113397,37.0511188561166,20,36.707548903193896,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,10,50.0,vanilla,0,0.0002219308724732,36.891459419156895,20,36.53782279506853,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,11,55.0,group_avg,4,0.0002342286186816,36.65364855205336,20,36.30360042755586,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,11,55.0,group_avg,8,0.0002332237301594,36.667173493028,20,36.3222726286257,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,11,55.0,group_avg,16,0.000232414333631,36.6814949479695,20,36.33737091320902,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
