E_x_EhSE_hx,E_x_SEavg_x,E_x_e1,E_x_EhSE_minus_SEavg,E_x_EhSE_hx_psnr,E_x_SEavg_x_psnr,sigma,dataset,model,group,averaging,num_noise,noise_sigma,noise_mask,se_mask,max_images,save_dir
0.0382137715350813,0.0010239232678751,0.0003415029513638,0.0371898482672062,14.17780097196652,29.89732587878779,15.0,val_images_circle,restormer-rotated-noise-retrained,fourier_rotation,16,2,15.0,circle,circle,10,results/q2_orbit_averaging_grid/val_images_circle/restormer-rotated-noise-retrained
0.0856001856943292,0.0011384731595101,0.0004769450751914,0.0844617125348191,10.675252931974374,29.43677203796364,15.0,val_images_circle,restormer-rotated-noise-retrained,fourier_rotation,32,2,15.0,circle,circle,10,results/q2_orbit_averaging_grid/val_images_circle/restormer-rotated-noise-retrained
0.0020796723424801,0.0019982968478245,3.885956148901413e-05,8.137549465560742e-05,26.82005083817093,26.99339996692538,15.0,val_images,tv,fourier_rotation,8,2,15.0,none,none,10,results/q2_orbit_averaging_grid/val_images/tv
0.0020626755693595,0.0019618638441146,4.8255444058633775e-05,0.0001008117252448,26.855690752343328,27.07331136508344,15.0,val_images,tv,fourier_rotation,16,2,15.0,none,none,10,results/q2_orbit_averaging_grid/val_images/tv
0.0020762732817698,0.0019685114150601,5.112343599646187e-05,0.0001077618667096,26.827154846609663,27.05862062467216,15.0,val_images,tv,fourier_rotation,32,2,15.0,none,none,10,results/q2_orbit_averaging_grid/val_images/tv
0.0022434271025043,0.0021830525860637,4.245841543160753e-05,6.037451644057675e-05,26.490880377843343,26.60935802741501,15.0,val_images_circle,tv,fourier_rotation,8,2,15.0,circle,circle,10,results/q2_orbit_averaging_grid/val_images_circle/tv
0.002215989297819,0.0021486949350043,4.992578766131976e-05,6.729436281473306e-05,26.54432341375617,26.678252399059048,15.0,val_images_circle,tv,fourier_rotation,16,2,15.0,circle,circle,10,results/q2_orbit_averaging_grid/val_images_circle/tv
0.0022196590304315,0.0021497824080872,5.266565619627664e-05,6.9876622344339e-05,26.53713733916531,26.67605495316605,15.0,val_images_circle,tv,fourier_rotation,32,2,15.0,circle,circle,10,results/q2_orbit_averaging_grid/val_images_circle/tv
0.0046729373219721,0.0036502621582919,0.0010158868216817,0.0010226751636802,23.30410044121025,24.37675943814468,15.0,val_images,wavelet,fourier_rotation,8,2,15.0,none,none,10,results/q2_orbit_averaging_grid/val_images/wavelet
0.0046113448844328,0.0032798176754441,0.0012550540809212,0.0013315272089886,23.36172395498046,24.841502979801987,15.0,val_images,wavelet,fourier_rotation,16,2,15.0,none,none,10,results/q2_orbit_averaging_grid/val_images/wavelet
0.0045610777470938,0.0030870151410449,0.0013654884972815,0.0014740626060488,23.409325248110115,25.10461240405775,15.0,val_images,wavelet,fourier_rotation,32,2,15.0,none,none,10,results/q2_orbit_averaging_grid/val_images/wavelet
0.0048992265822867,0.0039532693552521,0.0011251840747994,0.0009459572270345,23.098724745748456,24.030435940773657,15.0,val_images_circle,wavelet,fourier_rotation,8,2,15.0,circle,circle,10,results/q2_orbit_averaging_grid/val_images_circle/wavelet
0.0048715467759057,0.0035776691467891,0.0014421139580202,0.0012938776291165,23.12333123059718,24.46399824296176,15.0,val_images_circle,wavelet,fourier_rotation,16,2,15.0,circle,circle,10,results/q2_orbit_averaging_grid/val_images_circle/wavelet
0.0048918027508325,0.0034233889475789,0.0016013784633866,0.0014684138032535,23.105310630732127,24.655437557872887,15.0,val_images_circle,wavelet,fourier_rotation,32,2,15.0,circle,circle,10,results/q2_orbit_averaging_grid/val_images_circle/wavelet
0.0015712078356938,0.0015020289582198,7.291192937422754e-05,6.91788774740472e-05,28.037663637029198,28.233216943133108,25.0,val_images,bm3d,fourier_rotation,8,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/bm3d
0.0015917108049371,0.0015054790454256,8.509363092540912e-05,8.623175951141477e-05,27.98135835611511,28.2232528499966,25.0,val_images,bm3d,fourier_rotation,16,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/bm3d
0.0016011279423506,0.0015094646716462,8.747741567125443e-05,9.166327070445132e-05,27.95573963248213,28.21177046992426,25.0,val_images,bm3d,fourier_rotation,32,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/bm3d
0.0017009159076557,0.0016375222262941,7.632681552833008e-05,6.339368136165012e-05,27.69317157136313,27.858127965628228,25.0,val_images_circle,bm3d,fourier_rotation,8,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/bm3d
0.0017144714952464,0.0016402596766685,8.952953153495847e-05,7.421181857783377e-05,27.65869731056529,27.85087391454293,25.0,val_images_circle,bm3d,fourier_rotation,16,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/bm3d
0.0017198001681735,0.0016426655503801,9.259753515368688e-05,7.713461779336137e-05,27.645220129188285,27.844508506914703,25.0,val_images_circle,bm3d,fourier_rotation,32,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/bm3d
0.0024035237398956,0.0022883715954992,9.284987099416928e-05,0.0001151521443963,26.19151583934856,26.404734515699385,25.0,val_images,nlm,fourier_rotation,8,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/nlm
0.0024238008045201,0.0022956924092092,9.934974396664472e-05,0.0001281083953109,26.15503074708892,26.390863017845053,25.0,val_images,nlm,fourier_rotation,16,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/nlm
0.002432464631425,0.0023002463771694,0.0001002457123224,0.0001322182542555,26.13953465751735,26.38225644628221,25.0,val_images,nlm,fourier_rotation,32,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/nlm
0.0025698190785147,0.0024638457850733,0.0001113310846479,0.0001059732934413,25.90097450975517,26.08386478645449,25.0,val_images_circle,nlm,fourier_rotation,8,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/nlm
