dataset,eval_mask,input_pose,input_rotate_expand,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,23.332311377155456,22.13712774680254,0.6919830138517983,0.6464987379532782,0.004888594136541652,0.006477052811152084,0.09999999999999998,1.1951836303529162,0.04548427589852006,10,23.108160174666036,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.8,0.5,0.0,0.15,vanilla,0,20,22.654703157002825,22.13712774680254,0.6492337263006441,0.6464987379532782,0.005827758727939054,0.006477052811152084,0.4,0.5175754102002834,0.0027349883473659353,10,22.34498436533776,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,22.079665535520185,22.13712774680254,0.6314337096098686,0.6464987379532782,0.006607502808478953,0.006477052811152084,0.7,-0.0574622112823544,-0.015065028343409647,10,21.7996264360198,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,21.729722175009194,22.13712774680254,0.6096017984697031,0.6464987379532782,0.007085335005441405,0.006477052811152084,1.0,-0.4074055717933476,-0.036896939483575045,10,21.49639610825831,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,24.728933750146716,22.13712774680254,0.7708380324434677,0.6464987379532782,0.0036908178500552106,0.006477052811152084,0.0,2.591806003344173,0.1243392944901895,10,24.328773876593726,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.8,0.5,0.0,0.15,vanilla,0,20,24.344972150090037,22.13712774680254,0.7549143081287168,0.6464987379532782,0.004020180499466871,0.006477052811152084,0.0,2.207844403287497,0.1084155701754386,10,23.95754447372586,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,fixed5p0,0.4,0.5,0.0,0.15,vanilla,0,20,24.22828206683003,22.13712774680254,0.754740156112842,0.6464987379532782,0.004115743554431536,0.006477052811152084,0.0,2.0911543200274894,0.10824141815956378,10,23.855516932791275,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,fixed5p0,0.8,0.5,0.0,0.15,vanilla,0,20,24.081532829354007,22.13712774680254,0.7364501521487827,0.6464987379532782,0.004246917562745435,0.006477052811152084,0.0,1.9444050825514652,0.08995141419550459,10,23.719261690522302,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,fixed7p5,0.4,0.5,0.0,0.15,vanilla,0,20,23.972745427210917,22.13712774680254,0.731548883688476,0.6464987379532782,0.004319686552903529,0.006477052811152084,0.0,1.8356176804083755,0.08505014573519776,10,23.645477655191506,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,fixed7p5,0.8,0.5,0.0,0.15,vanilla,0,20,23.576869206125274,22.13712774680254,0.6966371081531347,0.6464987379532782,0.004692198072545036,0.006477052811152084,0.0,1.4397414593227325,0.05013837019985656,10,23.286236632236708,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,linear10p0_to_2p0,0.4,0.5,0.0,0.15,vanilla,0,20,24.062719741423795,22.13712774680254,0.7465525096821952,0.6464987379532782,0.004248452572438014,0.006477052811152084,0.0,1.925591994621254,0.10005377172891708,10,23.71769225626387,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,linear10p0_to_2p0,0.8,0.5,0.0,0.15,vanilla,0,20,23.75933789053901,22.13712774680254,0.7198949360109664,0.6464987379532782,0.004519263564020039,0.006477052811152084,0.0,1.622210143736467,0.07339619805768824,10,23.44932329821337,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,linear15p0_to_3p0,0.4,0.5,0.0,0.15,vanilla,0,20,23.05749613538769,22.13712774680254,0.6921990328622826,0.6464987379532782,0.005265675180839676,0.006477052811152084,0.19999999999999996,0.9203683885851504,0.04570029490900435,10,22.785459343525865,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,wavelet,15.0,linear15p0_to_3p0,0.8,0.5,0.0,0.15,vanilla,0,20,22.37080337463399,22.13712774680254,0.647628630050505,0.6464987379532782,0.00625805239141361,0.006477052811152084,0.7,0.23367562783144927,0.0011298920972268478,10,22.035608053306714,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,26.22115271231234,22.13712774680254,0.8182426265021698,0.6464987379532782,0.002691063860227577,0.006477052811152084,0.0,4.0840249655098,0.1717438885488916,10,25.700759960989824,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,26.242845272570584,22.13712774680254,0.8192063014632247,0.6464987379532782,0.0026775259980049066,0.006477052811152084,0.0,4.105717525768038,0.17270756350994645,10,25.7226630360152,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,26.22482667649594,22.13712774680254,0.8185387622012661,0.6464987379532782,0.0026841824921606237,0.006477052811152084,0.0,4.087698929693397,0.17204002424798784,10,25.711879606922846,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,red_gd,wavelet,15.0,fixed4p1,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,26.15685992319635,22.13712774680254,0.8153999304937379,0.6464987379532782,0.0027208912999416883,0.006477052811152084,0.0,4.019732176393812,0.16890119254045965,10,25.652888080102002,21.886225618779534
