denoiser,clip_denoised,mean_e1,mean_gain,mean_abs_identity_error,mean_EhSE_psnr,mean_SEavg_psnr,n
restormer,False,5.269115132098809e-06,5.2691158479376296e-06,4.469292676659164e-11,31.63421772045125,31.665992915931525,20
restormer,True,5.269115132098809e-06,5.2691158479376296e-06,4.469292676659164e-11,31.63421772045125,31.665992915931525,20
restormer-aug,False,5.2119321700533805e-06,5.211939906897199e-06,3.670300861799599e-11,31.620202545605935,31.65155405530178,20
restormer-aug,True,5.2119321700533805e-06,5.211939906897199e-06,3.670300861799599e-11,31.620202545605935,31.65155405530178,20
wavelet,False,0.00034457525654105474,0.0003445752778282213,6.386149963878707e-11,28.383886444209303,29.592994529479267,20
wavelet,True,0.00034008507907157476,0.0003400850739811654,6.339873513867313e-11,28.43470570077711,29.641539368756447,20
