EhSE_hx,SEavg_x,e1,vanilla_SE,EhSE_minus_SEavg,vanilla_minus_SEavg,EhSE_hx_psnr,SEavg_x_psnr,vanilla_psnr,experiment,denoiser,file,noise_id,sigma,clip_denoised,group,identity_error,identity_abs_error,gain_over_e
0.0019531118945096415,0.0016050905631617512,0.0003480212387949923,0.0019510452993605095,0.0003480213313478903,0.00034595473619875825,27.09272875106386,27.94500458603774,27.097326470412,exp1_c4_identity,wavelet,test001.png,0,15.0,True,exact_rot90_C4,9.255289801701413e-11,9.255289801701413e-11,1.0000002659403728
0.0019758655802320003,0.0016297853052823785,0.00034608033048136067,0.001976972549913384,0.00034608027494962185,0.0003471872446310055,27.0424260415588,27.878696022661504,27.0399936078441,exp1_c4_identity,wavelet,test001.png,1,15.0,True,exact_rot90_C4,-5.55317388210505e-11,5.55317388210505e-11,0.9999998395408987
0.0013900497909950021,0.0010649997557432766,0.00032504997971998667,0.001383755712655111,0.0003250500352517255,0.00031875595691183454,28.569696432228167,29.72650491830276,28.58940573181354,exp1_c4_identity,wavelet,test002.png,0,15.0,True,exact_rot90_C4,5.55317388210505e-11,5.55317388210505e-11,1.000000170840616
0.0013936131516107855,0.0010681298207117268,0.00032548340494137725,0.0013904101919798612,0.00032548333089905886,0.0003222803712681345,28.558577638540346,29.71375959861435,28.56857057419869,exp1_c4_identity,wavelet,test002.png,1,15.0,True,exact_rot90_C4,-7.404231839192726e-11,7.404231839192726e-11,0.9999997725158417
0.0015765709059355584,0.0012561325224436602,0.0003204385500871145,0.0015847983772937623,0.0003204383834918981,0.0003286658548501021,28.022864921764263,29.00964539953973,28.000259821519464,exp1_c4_identity,wavelet,test003.png,0,15.0,True,exact_rot90_C4,-1.665952164089414e-10,1.665952164089414e-10,0.9999994801024522
0.0015886777505245181,0.0012651554674496983,0.0003235224681806158,0.0015929533982434025,0.00032352228307481974,0.0003277979307937041,27.98964186720863,28.978561033364905,27.977969292721756,exp1_c4_identity,wavelet,test003.png,1,15.0,True,exact_rot90_C4,-1.8510579603402827e-10,1.8510579603402827e-10,0.9999994278425326
0.0010510919798436386,0.000723811419749822,0.00032728054158323697,0.0010524406976946297,0.0003272805600938166,0.0003286292779448078,29.783592777009122,31.403745692034917,29.77802366171227,exp1_c4_identity,wavelet,test004.png,0,15.0,True,exact_rot90_C4,1.851057962508687e-11,1.851057962508687e-11,1.000000056558754
0.0010413169314777745,0.0007124300047754808,0.00032888681563881617,0.001033309051125394,0.0003288869267022938,0.0003208790463499132,29.824170700631782,31.472577980324708,29.857697664526384,exp1_c4_identity,wavelet,test004.png,1,15.0,True,exact_rot90_C4,1.11063477642101e-10,1.11063477642101e-10,1.0000003376951352
0.0016655341212876579,0.0013102915166675916,0.0003552426601518051,0.0016698405706110006,0.0003552426046200663,0.00035954905394340906,27.78446465623569,28.826320707598924,27.773249914926144,exp1_c4_identity,wavelet,test005.png,0,15.0,True,exact_rot90_C4,-5.55317388210505e-11,5.55317388210505e-11,0.9999998436794196
0.0016686705538954912,0.0013119592458474508,0.00035671128953746075,0.0016721841580733033,0.0003567113080480403,0.00036022491222585245,27.776293977414678,28.82079655492726,27.767158952996176,exp1_c4_identity,wavelet,test005.png,1,15.0,True,exact_rot90_C4,1.8510579570876762e-11,1.8510579570876762e-11,1.0000000518923289
0.0007813032253205888,0.0005409030146302692,0.0002404001829244501,0.0007782942010321589,0.00024040021069031948,0.00023739118640188963,31.071803828630298,32.66880598085311,31.08856205410302,exp1_c4_identity,wavelet,test006.png,0,15.0,True,exact_rot90_C4,2.7765869383420197e-11,2.7765869383420197e-11,1.0000001154985367
0.0007779154190417546,0.0005367418733568055,0.00024117358270610843,0.0007758203731317737,0.0002411735456849492,0.00023907849977496823,31.090676202857832,32.702345223607665,31.102388199634262,exp1_c4_identity,wavelet,test006.png,1,15.0,True,exact_rot90_C4,-3.7021159223068686e-11,3.7021159223068686e-11,0.9999998464957944
0.001654134121691396,0.0012373219233670486,0.0004168122908772452,0.00164748689851385,0.0004168121983243472,0.0004101649751468014,27.814292795785462,29.07517292001699,27.83178030406647,exp1_c4_identity,wavelet,test007.png,0,15.0,True,exact_rot90_C4,-9.255289801701413e-11,9.255289801701413e-11,0.9999997779506505
