denoiser,pose_method,SEavg_range,e1_range,mean_e1,mean_SEavg_x,n
restormer,fft3shear,4.223704348485936e-05,1.393311402698927e-06,3.168437919339088e-05,0.0007895739716373163,380
restormer,rot90,2.667001532529129e-06,5.1545541527754234e-08,3.198461660497263e-05,0.0007607189355650065,40
restormer-aug,fft3shear,4.338364154058468e-05,1.2262037902955635e-06,3.2724319489718475e-05,0.0007925764410859487,380
restormer-aug,rot90,2.4814792484639716e-06,8.184772729469443e-09,3.249088645061934e-05,0.0007633589671830549,40
wavelet,fft3shear,6.0206885557226005e-05,2.3474683210073367e-06,0.0004206068359975744,0.0011872302602605174,380
wavelet,rot90,1.6308209351899132e-06,1.1236198320449119e-06,0.00042024583974840056,0.001146666008988735,40
