denoiser,input_pose_deg,pose_method,mean_SEavg_x,mean_e1,mean_EhSE_minus_SEavg,mean_SEavg_psnr,n
restormer,75.0,fft3shear,0.0007899781344089423,3.1518410413381684e-05,3.0882146882547636e-05,31.388994137912153,20
restormer,80.0,fft3shear,0.0007868023279472369,3.143407810534753e-05,3.0924623803708034e-05,31.405035992620004,20
restormer,85.0,fft3shear,0.0007822938152858962,3.132356330191994e-05,3.0894351601826246e-05,31.437080939515482,20
restormer,90.0,fft3shear,0.0007593668733150456,3.202016680488106e-05,3.3371787561249346e-05,31.573602029193967,20
restormer,90.0,rot90,0.0007593854347987419,3.1958843834208754e-05,3.323479995905611e-05,31.5848680629805,20
restormer-aug,0.0,fft3shear,0.0007627631139394755,3.2491345931469963e-05,3.385803081263188e-05,31.554691659822794,20
restormer-aug,0.0,rot90,0.0007645997068072869,3.2486794064254604e-05,3.380900340226911e-05,31.548145166898745,20
restormer-aug,5.0,fft3shear,0.0007847811355477536,3.2189724939642014e-05,3.165735618905322e-05,31.425174955964156,20
restormer-aug,10.0,fft3shear,0.0007897846248097788,3.2729792319825103e-05,3.203621534543617e-05,31.392156068527953,20
restormer-aug,15.0,fft3shear,0.0007926113809740376,3.3132834810927696e-05,3.2330695065921605e-05,31.379264284599447,20
restormer-aug,20.0,fft3shear,0.0007946484795145732,3.333061727370337e-05,3.24382690678988e-05,31.360520096478762,20
restormer-aug,25.0,fft3shear,0.0007967847984638937,3.328892750409453e-05,3.23101497108564e-05,31.35269523224769,20
restormer-aug,30.0,fft3shear,0.0007990684005419367,3.314537658725339e-05,3.217404269164218e-05,31.344162737461623,20
restormer-aug,35.0,fft3shear,0.0008020118788679944,3.3049772934224994e-05,3.217161884693437e-05,31.32613411956863,20
restormer-aug,40.0,fft3shear,0.0008053994241476561,3.272646838010738e-05,3.169343284593384e-05,31.304888391658857,20
restormer-aug,45.0,fft3shear,0.0008033354186286104,3.3120473026488884e-05,3.18789677403314e-05,31.30744886511125,20
restormer-aug,50.0,fft3shear,0.000803573257363806,3.210441348340781e-05,3.113995957435426e-05,31.309652433252797,20
restormer-aug,55.0,fft3shear,0.0008038656708408432,3.251141968975098e-05,3.153941545266082e-05,31.30773891798392,20
restormer-aug,60.0,fft3shear,0.000801000246075795,3.250829434107575e-05,3.1371190842469576e-05,31.319987164443823,20
restormer-aug,65.0,fft3shear,0.0007966487457038158,3.29377376566044e-05,3.1956232519267604e-05,31.350959156617677,20
restormer-aug,70.0,fft3shear,0.000794284922475892,3.2761565046411957e-05,3.189816436829033e-05,31.365224688253143,20
restormer-aug,75.0,fft3shear,0.0007924346808322108,3.255978335483644e-05,3.190584706866319e-05,31.37414540426961,20
restormer-aug,80.0,fft3shear,0.0007893820567245854,3.239844723992338e-05,3.185900211348111e-05,31.389501229708536,20
restormer-aug,85.0,fft3shear,0.0007845583625732966,3.2278705930284326e-05,3.183216408688006e-05,31.42281759210791,20
restormer-aug,90.0,fft3shear,0.0007620157826070714,3.249636985461866e-05,3.383951063066629e-05,31.5572687236906,20
restormer-aug,90.0,rot90,0.0007621182275588229,3.249497883698407e-05,3.376821470381402e-05,31.567916902166314,20
wavelet,0.0,fft3shear,0.0011459250647318227,0.00042035796579112974,0.00042464078450855203,29.64385753446764,20
