denoiser,mean_fixed_canvas_gain,mean_fixed_canvas_e1,mean_identity_gain,mean_fig1_rectangle_e1,mean_vanilla_psnr,mean_avg_psnr
restormer,4.072346023111022e-06,3.9887107737162005e-05,3.9164928926878405e-05,0.0004585184470984333,30.027035269050153,30.035409248353528
restormer-aug,4.183086887766729e-06,4.144644178800538e-05,4.067210411546061e-05,0.000278048495726427,30.012063844511932,30.020474522417807
wavelet,0.0003640233228257958,0.0004156281953784908,0.0004202996268898712,0.0012121431332947734,27.55156057469974,28.555495760945032
