denoiser,input_pose_deg,fixed_canvas_gain,fixed_canvas_e1,identity_gain,fig1_rectangle_e1_mean,vanilla_psnr,avg_psnr,n
restormer,0,-8.815015665364318e-06,4.041222288471839e-05,4.3073482433647134e-05,0.00045851844709843335,30.25932864100018,30.206701675664682,4
restormer,15,7.577620440102044e-06,4.1206897359970346e-05,3.934770536478724e-05,0.00045851844709843335,29.992810330568958,30.020715968753976,4
restormer,30,1.0032826697407236e-05,4.02328213389119e-05,3.818960252107436e-05,0.00045851844709843335,29.93665906291128,29.973910794050028,4
restormer,45,1.5257197152654192e-05,3.902016029718774e-05,3.646113897262838e-05,0.00045851844709843335,29.855411202715587,29.915054812984536,4
restormer,60,8.643422592449925e-06,3.869431845598599e-05,3.645027094857931e-05,0.00045851844709843335,29.90887392738874,29.938573010334263,4
restormer,75,5.893861098307121e-06,3.930419082441039e-05,3.748405558277114e-05,0.00045851844709843335,29.967378755043136,29.986952188638092,4
restormer,90,-1.0083490153779047e-05,4.033914299894925e-05,4.314824666466129e-05,0.00045851844709843335,30.268784963723206,30.205956288049123,4
restormer-aug,0,-9.146003339235111e-06,4.145713176264218e-05,4.407035234446685e-05,0.000278048495726427,30.248684685769884,30.194076851626356,4
restormer-aug,15,8.843521957952037e-06,4.257561678702048e-05,4.068480782707793e-05,0.000278048495726427,29.976769413774,30.008394710375367,4
restormer-aug,30,1.065341238915782e-05,4.2102378924252704e-05,4.0001010819807546e-05,0.000278048495726427,29.918027539615437,29.957026830339174,4
restormer-aug,45,1.5998564376310536e-05,4.10194742436471e-05,3.843937618385078e-05,0.000278048495726427,29.832442841472332,29.89469666908652,4
restormer-aug,60,8.467609107386183e-06,4.072692360755335e-05,3.8383886093847644e-05,0.000278048495726427,29.8972929641889,29.92591513182319,4
restormer-aug,75,5.029935327103183e-06,4.082934051143844e-05,3.896385726012808e-05,0.000278048495726427,29.954035157117794,29.97158215757825,4
restormer-aug,90,-1.0565431604307539e-05,4.14142266794834e-05,4.4161438279045434e-05,0.000278048495726427,30.257194309645158,30.1916293060958,4
wavelet,0,0.00031501545004925603,0.0004186392480628444,0.00042565815905116187,0.0012121431332947734,27.80633443574469,28.71976377088039,4
wavelet,15,0.0003637094733042684,0.0004171064320855062,0.0004210153748102657,0.0012121431332947734,27.530469482343413,28.535936128583863,4
wavelet,30,0.00040038635423907413,0.0004137618549515111,0.00041736095602577306,0.0012121431332947734,27.40415766529867,28.48575818939243,4
wavelet,45,0.0004177682327396528,0.00041340402115266065,0.000416938426594301,0.0012121431332947734,27.338749044323347,28.45313206610973,4
wavelet,60,0.00039088742818913934,0.0004133721979955905,0.0004168754536024936,0.0012121431332947734,27.399970258451205,28.445201764299952,4
wavelet,75,0.0003453756882476355,0.0004153437806534458,0.00041946395917116065,0.0012121431332947734,27.572236570608048,28.524983104812115,4
wavelet,90,0.0003150206330115447,0.0004177698327478772,0.0004247850589739425,0.0012121431332947734,27.809006566128794,28.723695302536726,4
