dataset,eval_mask,input_pose,input_rotate_expand,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,26.446614481663726,22.13712774680254,0.8124746016236415,0.6464987379532782,0.0025912071378855106,0.006477052811152084,0.0,4.309486734861187,0.16597586367036335,10,25.86497868664127,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,restormer,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,25.937963021821353,22.13712774680254,0.7862962840615457,0.6464987379532782,0.002886974568221565,0.006477052811152084,0.0,3.8008352750188132,0.1397975461082675,10,25.395570418656206,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,25.28778848590458,22.13712774680254,0.746992632297578,0.6464987379532782,0.003330704400729318,0.006477052811152084,0.0,3.1506607391020416,0.10049389434429978,10,24.77463909136702,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,26.379521450328347,22.13712774680254,0.8239063388629255,0.6464987379532782,0.0026189335912114907,0.006477052811152084,0.0,4.242393703525811,0.17740760090964722,10,25.81875513921488,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,26.32856426681022,22.13712774680254,0.8226085199841128,0.6464987379532782,0.0026373774305881548,0.006477052811152084,0.0,4.191436520007677,0.17610978203083466,10,25.78827714616006,21.886225618779534
val_images_circle,circle,rot45_padded,False,blur,red_gd,restormer,15.0,fixed15p0,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,26.269665218550692,22.13712774680254,0.8205661167210663,0.6464987379532782,0.0026627032417201246,0.006477052811152084,0.0,4.132537471748155,0.17406737876778802,10,25.74677232984644,21.886225618779534
val_images_circle,circle,rot45_padded,False,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.2,0.5,0.0,0.15,vanilla,0,20,10.131307859277111,9.5260567439553,0.19758317533601777,0.1336941065479999,0.11302242646689509,0.12726566291162852,0.0,0.6052511153218121,0.06388906878801788,10,9.46835373114293,8.95288755965786
val_images_circle,circle,rot45_padded,False,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,10.142412335444053,9.5260567439553,0.1954541397759727,0.1336941065479999,0.11286437663044149,0.12726566291162852,0.0,0.6163555914887529,0.06176003322797281,10,9.474431127617402,8.95288755965786
val_images_circle,circle,rot45_padded,False,inpaint,pnp_hqs,restormer,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,10.147561171759328,9.5260567439553,0.1926366930328762,0.1336941065479999,0.11282481632902619,0.12726566291162852,0.0,0.6215044278040284,0.058942586484876304,10,9.475953648085286,8.95288755965786
val_images_circle,circle,rot45_padded,False,inpaint,red_gd,restormer,15.0,fixed15p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,9.694638806392883,9.5260567439553,0.15001397236691424,0.1336941065479999,0.12283206819572716,0.12726566291162852,0.0,0.16858206243758156,0.01631986581891436,10,9.106882356191166,8.95288755965786
