dataset,input_pose,input_angle_deg,problem,algorithm,denoiser,denoiser_sigma,mode,sampling,base_group_size,sample_size,group_expand,num_iter,mean_final_se,mean_final_psnr,mean_degraded_se,mean_degraded_psnr,total_group_evals,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,upright,0.0,blur,pnp_hqs,restormer-aug,15.0,G16_fixed,fixed,16,16,True,20,0.010104941537995144,20.224840078570157,0.004615378748072558,23.874842116311157,320,10,19.95466194746357,23.357926540208148
val_images,upright,0.0,blur,pnp_hqs,restormer-aug,15.0,G1_random,random,16,1,True,20,0.009249297672625586,21.59261917805346,0.004615378748072558,23.874842116311157,20,10,20.3389124331322,23.357926540208148
val_images,upright,0.0,blur,pnp_hqs,restormer-aug,15.0,G2_random,random,16,2,True,20,0.008456985956730842,21.1403278741982,0.004615378748072558,23.874842116311157,40,10,20.727843905769234,23.357926540208148
val_images,upright,0.0,blur,pnp_hqs,restormer-aug,15.0,G4_random,random,16,4,True,20,0.009876965815253998,20.526961745101914,0.004615378748072558,23.874842116311157,80,10,20.05376449346941,23.357926540208148
val_images,upright,0.0,blur,red_gd,restormer-aug,15.0,G16_fixed,fixed,16,16,True,20,0.0026277413307169944,26.51476149830349,0.004615378748072558,23.874842116311157,320,10,25.804173880358697,23.357926540208148
val_images,upright,0.0,blur,red_gd,restormer-aug,15.0,G1_random,random,16,1,True,20,0.0026407768838052365,26.47111051021953,0.004615378748072558,23.874842116311157,20,10,25.782682902832306,23.357926540208148
val_images,upright,0.0,blur,red_gd,restormer-aug,15.0,G2_random,random,16,2,True,20,0.0026031958757203708,26.562965913055997,0.004615378748072558,23.874842116311157,40,10,25.844931524654925,23.357926540208148
val_images,upright,0.0,blur,red_gd,restormer-aug,15.0,G4_random,random,16,4,True,20,0.002621515574195727,26.534357984995363,0.004615378748072558,23.874842116311157,80,10,25.814475578368985,23.357926540208148
val_images,upright,0.0,inpaint,pnp_hqs,restormer-aug,15.0,G16_fixed,fixed,16,16,True,20,0.02588083632267444,17.755399115945234,0.12888757743575008,9.730675701157908,320,10,15.870216938281407,8.897889392105377
val_images,upright,0.0,inpaint,pnp_hqs,restormer-aug,15.0,G1_random,random,16,1,True,20,0.03030493536195102,17.712247510612684,0.12888757743575008,9.730675701157908,20,10,15.184866379690323,8.897889392105377
val_images,upright,0.0,inpaint,pnp_hqs,restormer-aug,15.0,G2_random,random,16,2,True,20,0.03150630103895828,16.986515913227116,0.12888757743575008,9.730675701157908,40,10,15.01602581677366,8.897889392105377
val_images,upright,0.0,inpaint,pnp_hqs,restormer-aug,15.0,G4_random,random,16,4,True,20,0.029311048368181252,17.309490303013643,0.12888757743575008,9.730675701157908,80,10,15.329686478743023,8.897889392105377
val_images,upright,0.0,inpaint,red_gd,restormer-aug,15.0,G16_fixed,fixed,16,16,True,20,0.10284974273631056,10.77147897404905,0.12888757743575008,9.730675701157908,320,10,9.877967902924507,8.897889392105377
val_images,upright,0.0,inpaint,red_gd,restormer-aug,15.0,G1_random,random,16,1,True,20,0.10427629199035819,10.702881429841087,0.12888757743575008,9.730675701157908,20,10,9.818144205105927,8.897889392105377
val_images,upright,0.0,inpaint,red_gd,restormer-aug,15.0,G2_random,random,16,2,True,20,0.10443294280866591,10.691954595617064,0.12888757743575008,9.730675701157908,40,10,9.811624838694787,8.897889392105377
val_images,upright,0.0,inpaint,red_gd,restormer-aug,15.0,G4_random,random,16,4,True,20,0.10342945461604254,10.755037823232382,0.12888757743575008,9.730675701157908,80,10,9.853557653465948,8.897889392105377
