dataset,input_pose,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_ssim,mean_degraded_ssim,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,mean_gap_ssim,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,22.887253293604893,23.473969875493264,0.6525375289501814,0.6735075017410599,0.005613849320600737,0.004945198132232484,1.0,-0.5867165818883745,-0.020969972790878488,10,22.507392482939995,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed10p0,0.8,0.5,0.0,0.15,vanilla,0,20,22.755759277308265,23.473969875493264,0.629064018366157,0.6735075017410599,0.005746058226558451,0.004945198132232484,1.0,-0.7182105981849997,-0.044443483374902816,10,22.40629977483488,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,22.642039110539642,23.473969875493264,0.6123335364569836,0.6735075017410599,0.0058833397012450096,0.004945198132232484,1.0,-0.8319307649536227,-0.06117396528407617,10,22.303760749311063,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,22.27557820024645,23.473969875493264,0.5754653615128595,0.6735075017410599,0.0062801687493167346,0.004945198132232484,1.0,-1.1983916752468144,-0.09804214022820032,10,22.020286865315207,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,25.289182044701725,23.473969875493264,0.7696763653148484,0.6735075017410599,0.0033244614355240993,0.004945198132232484,0.0,1.81521216920846,0.09616886357378855,10,24.78278700593843,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed3p0,0.8,0.5,0.0,0.15,vanilla,0,20,25.115597328235097,23.473969875493264,0.7518160722094455,0.6735075017410599,0.0034453330691165338,0.004945198132232484,0.0,1.6416274527418317,0.07830857046838557,10,24.627687873739657,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed5p0,0.4,0.5,0.0,0.15,vanilla,0,20,24.49865829809567,23.473969875493264,0.7250872453193833,0.6735075017410599,0.0038150745637987094,0.004945198132232484,0.19999999999999996,1.024688422602403,0.0515797435783234,10,24.18496969549238,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed5p0,0.8,0.5,0.0,0.15,vanilla,0,20,23.98206456819451,23.473969875493264,0.6908669314022415,0.6735075017410599,0.004337991762420741,0.004945198132232484,0.19999999999999996,0.5080946927012473,0.017359429661181654,10,23.627112770195232,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed7p5,0.4,0.5,0.0,0.15,vanilla,0,20,23.12258472138401,23.473969875493264,0.6650246532051697,0.6735075017410599,0.005296922769222769,0.004945198132232484,0.8,-0.35138515410925636,-0.008482848535890136,10,22.75976359166517,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,fixed7p5,0.8,0.5,0.0,0.15,vanilla,0,20,22.909938172104546,23.473969875493264,0.6521576944723374,0.6735075017410599,0.005584724705032068,0.004945198132232484,1.0,-0.5640317033887186,-0.021349807268722466,10,22.529982302533334,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,linear10p0_to_2p0,0.4,0.5,0.0,0.15,vanilla,0,20,22.934422784241693,23.473969875493264,0.6658962561139543,0.6735075017410599,0.005504986777086893,0.004945198132232484,1.0,-0.5395470912515716,-0.007611245627105473,10,22.592437198611837,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,linear10p0_to_2p0,0.8,0.5,0.0,0.15,vanilla,0,20,22.868466561637064,23.473969875493264,0.6544175648646022,0.6735075017410599,0.005639105977465928,0.004945198132232484,1.0,-0.605503313856202,-0.019089936876457637,10,22.487897435041862,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,linear15p0_to_3p0,0.4,0.5,0.0,0.15,vanilla,0,20,22.87052527972896,23.473969875493264,0.657612652646411,0.6735075017410599,0.005642646103518155,0.004945198132232484,1.0,-0.6034445957643036,-0.015894849094648868,10,22.48517187034384,23.05816303457812
val_images,rot45_padded,blur,pnp_hqs,wavelet,15.0,linear15p0_to_3p0,0.8,0.5,0.0,0.15,vanilla,0,20,22.823411797979965,23.473969875493264,0.641749486792239,0.6735075017410599,0.005688994586328733,0.004945198132232484,1.0,-0.6505580775133012,-0.031758014948820926,10,22.449644795084943,23.05816303457812
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,26.403979089560266,23.473969875493264,0.8091276530917983,0.6735075017410599,0.0026001566016757446,0.004945198132232484,0.0,2.930009214067001,0.13562015135073852,10,25.850004946462942,23.05816303457812
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,26.82748959535839,23.473969875493264,0.8193613498882483,0.6735075017410599,0.0023785013780596347,0.004945198132232484,0.0,3.3535197198651248,0.1458538481471884,10,26.236965926218296,23.05816303457812
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,27.004151261066816,23.473969875493264,0.8223030375421093,0.6735075017410599,0.002302306255054894,0.004945198132232484,0.0,3.5301813855735547,0.14879553580104948,10,26.378369065820813,23.05816303457812
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed4p1,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,26.291271679091164,23.473969875493264,0.806675714441889,0.6735075017410599,0.002686117666006768,0.004945198132232484,0.0,2.817301803597897,0.13316821270082924,10,25.708749668801964,23.05816303457812
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed4p1,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,26.73033693105723,23.473969875493264,0.8172534173360975,0.6735075017410599,0.0024484808181165626,0.004945198132232484,0.0,3.256367055563966,0.14374591559503758,10,26.111032939813814,23.05816303457812
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed4p1,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,26.945373332190144,23.473969875493264,0.8210014687661958,0.6735075017410599,0.002339227997166223,0.004945198132232484,0.0,3.471403456696879,0.14749396702513604,10,26.309274468160964,23.05816303457812
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,26.28424346824361,23.473969875493264,0.8062577993408266,0.6735075017410599,0.0026949885917716956,0.004945198132232484,0.0,2.810273592750343,0.13275029759976678,10,25.694430688969412,23.05816303457812
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed5p0,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,26.714648265787435,23.473969875493264,0.8167627320063489,0.6735075017410599,0.0024603790654886505,0.004945198132232484,0.0,3.2406783902941685,0.1432552302652889,10,26.089979768935507,23.05816303457812
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed5p0,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,26.934762519970995,23.473969875493264,0.8208426122376263,0.6735075017410599,0.002346584995227269,0.004945198132232484,0.0,3.4607926444777335,0.14733511049656645,10,26.29563710665348,23.05816303457812
val_images,rot45_padded,inpaint,pnp_hqs,wavelet,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,17.525117086664274,9.684471187083723,0.45539589626117516,0.11963152922753628,0.051538600343346876,0.1300656649077238,0.0,7.840645899580551,0.3357643670336389,10,12.878673799530407,8.858373345616485
