signal,operator,angle_deg,psnr
pure_gaussian_noise,fourier_rotation,50.0,46.6266242864325
pure_gaussian_noise,fourier_rotation,55.0,46.70986609131552
pure_gaussian_noise,fourier_rotation,60.0,46.77977984453615
pure_gaussian_noise,fourier_rotation,65.0,45.1750839120566
pure_gaussian_noise,fourier_rotation,70.0,45.04549131458795
pure_gaussian_noise,fourier_rotation,75.0,44.483094579391214
pure_gaussian_noise,fourier_rotation,80.0,43.66964116007359
pure_gaussian_noise,fourier_rotation,85.0,43.272293215651615
pure_gaussian_noise,fourier_rotation,90.0,99.0
pure_gaussian_noise,fourier_rotation,95.0,43.237656706780506
pure_gaussian_noise,fourier_rotation,100.0,43.99467318316972
pure_gaussian_noise,fourier_rotation,105.0,44.270548018182794
pure_gaussian_noise,fourier_rotation,110.0,44.858168796986504
pure_gaussian_noise,fourier_rotation,115.0,45.428213351247955
pure_gaussian_noise,fourier_rotation,120.0,46.526444881321666
pure_gaussian_noise,fourier_rotation,125.0,46.40738549154218
pure_gaussian_noise,fourier_rotation,130.0,46.742067395475004
pure_gaussian_noise,fourier_rotation,135.0,46.97976689501861
pure_gaussian_noise,fourier_rotation,140.0,46.60781656641159
pure_gaussian_noise,fourier_rotation,145.0,45.91771663415184
pure_gaussian_noise,fourier_rotation,150.0,45.93196922114572
pure_gaussian_noise,fourier_rotation,155.0,45.2715830197214
pure_gaussian_noise,fourier_rotation,160.0,44.838350869829206
pure_gaussian_noise,fourier_rotation,165.0,44.139492781663165
pure_gaussian_noise,fourier_rotation,170.0,43.43794987549401
pure_gaussian_noise,fourier_rotation,175.0,42.78183199804248
pure_gaussian_noise,fourier_rotation,180.0,99.0
pure_gaussian_noise,fourier_rotation,185.0,42.74798640112767
pure_gaussian_noise,fourier_rotation,190.0,43.40011942071398
pure_gaussian_noise,fourier_rotation,195.0,43.94484147796546
pure_gaussian_noise,fourier_rotation,200.0,45.102886222881764
pure_gaussian_noise,fourier_rotation,205.0,44.896225843065565
pure_gaussian_noise,fourier_rotation,210.0,46.223252472457325
pure_gaussian_noise,fourier_rotation,215.0,46.55277080129948
pure_gaussian_noise,fourier_rotation,220.0,46.585613767321945
pure_gaussian_noise,fourier_rotation,225.0,46.85260186334791
pure_gaussian_noise,fourier_rotation,230.0,46.6266242864325
pure_gaussian_noise,fourier_rotation,235.0,46.70986609131552
pure_gaussian_noise,fourier_rotation,240.0,46.77977984453615
pure_gaussian_noise,fourier_rotation,245.0,45.1750839120566
pure_gaussian_noise,fourier_rotation,250.0,45.04549131458795
pure_gaussian_noise,fourier_rotation,255.0,44.483094579391214
pure_gaussian_noise,fourier_rotation,260.0,43.66964116007359
pure_gaussian_noise,fourier_rotation,265.0,43.272293215651615
pure_gaussian_noise,fourier_rotation,270.0,99.0
pure_gaussian_noise,fourier_rotation,275.0,43.237656706780506
pure_gaussian_noise,fourier_rotation,280.0,43.99467318316972
pure_gaussian_noise,fourier_rotation,285.0,44.270548018182794
pure_gaussian_noise,fourier_rotation,290.0,44.858168796986504
pure_gaussian_noise,fourier_rotation,295.0,45.428213351247955
pure_gaussian_noise,fourier_rotation,300.0,46.526444881321666
pure_gaussian_noise,fourier_rotation,305.0,46.40738549154218
pure_gaussian_noise,fourier_rotation,310.0,46.742067395475004
pure_gaussian_noise,fourier_rotation,315.0,46.97976689501861
pure_gaussian_noise,fourier_rotation,320.0,46.60781656641159
pure_gaussian_noise,fourier_rotation,325.0,45.91771663415184
pure_gaussian_noise,fourier_rotation,330.0,45.93196922114572
pure_gaussian_noise,fourier_rotation,335.0,45.2715830197214
pure_gaussian_noise,fourier_rotation,340.0,44.838350869829206
pure_gaussian_noise,fourier_rotation,345.0,44.139492781663165
pure_gaussian_noise,fourier_rotation,350.0,43.43794987549401
pure_gaussian_noise,fourier_rotation,355.0,42.78183199804248
pure_gaussian_noise,fourier_rotation,360.0,99.0
pure_gaussian_noise,scipy_ndimage_rotate,0.0,99.0
pure_gaussian_noise,scipy_ndimage_rotate,5.0,12.88951728747798
pure_gaussian_noise,scipy_ndimage_rotate,10.0,12.880734098218527
pure_gaussian_noise,scipy_ndimage_rotate,15.0,12.873644559205548
pure_gaussian_noise,scipy_ndimage_rotate,20.0,19.871691285244502
pure_gaussian_noise,scipy_ndimage_rotate,25.0,19.56527638399048
pure_gaussian_noise,scipy_ndimage_rotate,30.0,12.864429031228868
pure_gaussian_noise,scipy_ndimage_rotate,35.0,12.852096600129206
pure_gaussian_noise,scipy_ndimage_rotate,40.0,12.852329046081357
pure_gaussian_noise,scipy_ndimage_rotate,45.0,19.044556039949615
pure_gaussian_noise,scipy_ndimage_rotate,50.0,12.867239664588226
pure_gaussian_noise,scipy_ndimage_rotate,55.0,12.843673295802478
pure_gaussian_noise,scipy_ndimage_rotate,60.0,12.845723382088885
pure_gaussian_noise,scipy_ndimage_rotate,65.0,19.549210915037648
pure_gaussian_noise,scipy_ndimage_rotate,70.0,19.84512921995024
pure_gaussian_noise,scipy_ndimage_rotate,75.0,12.866307697373806
pure_gaussian_noise,scipy_ndimage_rotate,80.0,12.883510681226234
pure_gaussian_noise,scipy_ndimage_rotate,85.0,12.884710080648905
pure_gaussian_noise,scipy_ndimage_rotate,90.0,99.0
pure_gaussian_noise,scipy_ndimage_rotate,95.0,12.88951728747798
pure_gaussian_noise,scipy_ndimage_rotate,100.0,12.880734098218527
pure_gaussian_noise,scipy_ndimage_rotate,105.0,12.873644559205548
pure_gaussian_noise,scipy_ndimage_rotate,110.0,19.871691285244502
pure_gaussian_noise,scipy_ndimage_rotate,115.0,19.56527638399048
pure_gaussian_noise,scipy_ndimage_rotate,120.0,12.864429031228868
pure_gaussian_noise,scipy_ndimage_rotate,125.0,12.852096600129206
pure_gaussian_noise,scipy_ndimage_rotate,130.0,12.852329046081357
