signal,operator,angle_deg,psnr
astronaut,cv2_affine_rotation,360.0,99.0
astronaut,fourier_rotation,0.0,99.0
astronaut,fourier_rotation,5.0,64.66550852515739
astronaut,fourier_rotation,10.0,65.67009886918645
astronaut,fourier_rotation,15.0,65.93485324310576
astronaut,fourier_rotation,20.0,66.77468655299452
astronaut,fourier_rotation,25.0,66.91935476290999
astronaut,fourier_rotation,30.0,67.98468451497725
astronaut,fourier_rotation,35.0,67.55661574608929
astronaut,fourier_rotation,40.0,67.64519458088954
astronaut,fourier_rotation,45.0,68.11078266227311
astronaut,fourier_rotation,50.0,67.66399601483046
astronaut,fourier_rotation,55.0,67.14783247108942
astronaut,fourier_rotation,60.0,67.85643916159424
astronaut,fourier_rotation,65.0,66.93346746611061
astronaut,fourier_rotation,70.0,66.12692982932168
astronaut,fourier_rotation,75.0,66.11906906482658
astronaut,fourier_rotation,80.0,65.26645433361323
astronaut,fourier_rotation,85.0,65.0992101847424
astronaut,fourier_rotation,90.0,99.0
astronaut,fourier_rotation,95.0,65.26678346521517
astronaut,fourier_rotation,100.0,65.80836163795324
astronaut,fourier_rotation,105.0,65.71147014956587
astronaut,fourier_rotation,110.0,67.04143660248923
astronaut,fourier_rotation,115.0,67.32581162921954
astronaut,fourier_rotation,120.0,68.05853886379094
astronaut,fourier_rotation,125.0,68.02243882543043
astronaut,fourier_rotation,130.0,68.42178475017951
astronaut,fourier_rotation,135.0,68.6035083418369
astronaut,fourier_rotation,140.0,68.09587493879982
astronaut,fourier_rotation,145.0,68.05812761412948
astronaut,fourier_rotation,150.0,67.88897291106657
astronaut,fourier_rotation,155.0,67.34001231106231
astronaut,fourier_rotation,160.0,66.49461146867495
astronaut,fourier_rotation,165.0,65.94587429453263
astronaut,fourier_rotation,170.0,65.45266073404599
astronaut,fourier_rotation,175.0,64.10098275349524
astronaut,fourier_rotation,180.0,99.0
astronaut,fourier_rotation,185.0,64.66550852515739
astronaut,fourier_rotation,190.0,65.67009886918645
astronaut,fourier_rotation,195.0,65.93485324310576
astronaut,fourier_rotation,200.0,66.77468655299452
astronaut,fourier_rotation,205.0,66.91935476290999
astronaut,fourier_rotation,210.0,67.98468451497725
astronaut,fourier_rotation,215.0,67.55661574608929
astronaut,fourier_rotation,220.0,67.64519458088954
astronaut,fourier_rotation,225.0,68.11078266227311
astronaut,fourier_rotation,230.0,67.66399601483046
astronaut,fourier_rotation,235.0,67.14783247108942
astronaut,fourier_rotation,240.0,67.85643916159424
astronaut,fourier_rotation,245.0,66.93346746611061
astronaut,fourier_rotation,250.0,66.12692982932168
astronaut,fourier_rotation,255.0,66.11906906482658
astronaut,fourier_rotation,260.0,65.26645433361323
astronaut,fourier_rotation,265.0,65.0992101847424
astronaut,fourier_rotation,270.0,99.0
astronaut,fourier_rotation,275.0,65.26678346521517
astronaut,fourier_rotation,280.0,65.80836163795324
astronaut,fourier_rotation,285.0,65.71147014956587
astronaut,fourier_rotation,290.0,67.04143660248923
astronaut,fourier_rotation,295.0,67.32581162921954
astronaut,fourier_rotation,300.0,68.05853886379094
astronaut,fourier_rotation,305.0,68.02243882543043
astronaut,fourier_rotation,310.0,68.42178475017951
astronaut,fourier_rotation,315.0,68.6035083418369
astronaut,fourier_rotation,320.0,68.09587493879982
astronaut,fourier_rotation,325.0,68.05812761412948
astronaut,fourier_rotation,330.0,67.88897291106657
astronaut,fourier_rotation,335.0,67.34001231106231
astronaut,fourier_rotation,340.0,66.49461146867495
astronaut,fourier_rotation,345.0,65.94587429453263
astronaut,fourier_rotation,350.0,65.45266073404599
astronaut,fourier_rotation,355.0,64.10098275349524
astronaut,fourier_rotation,360.0,99.0
astronaut,scipy_ndimage_rotate,0.0,99.0
astronaut,scipy_ndimage_rotate,5.0,25.294124496544637
astronaut,scipy_ndimage_rotate,10.0,25.286269313556748
astronaut,scipy_ndimage_rotate,15.0,25.2759719133973
astronaut,scipy_ndimage_rotate,20.0,31.406187128269593
astronaut,scipy_ndimage_rotate,25.0,31.585650703417983
astronaut,scipy_ndimage_rotate,30.0,25.1706932824658
astronaut,scipy_ndimage_rotate,35.0,25.142221672682844
astronaut,scipy_ndimage_rotate,40.0,25.142446684320117
astronaut,scipy_ndimage_rotate,45.0,35.39144293803676
astronaut,scipy_ndimage_rotate,50.0,25.145720418604448
astronaut,scipy_ndimage_rotate,55.0,25.137611666425173
astronaut,scipy_ndimage_rotate,60.0,25.16752596520146
astronaut,scipy_ndimage_rotate,65.0,31.54702459552075
astronaut,scipy_ndimage_rotate,70.0,31.436933605443716
astronaut,scipy_ndimage_rotate,75.0,25.272454528153602
astronaut,scipy_ndimage_rotate,80.0,25.287731383845966
astronaut,scipy_ndimage_rotate,85.0,25.290258373000558
astronaut,scipy_ndimage_rotate,90.0,99.0
astronaut,scipy_ndimage_rotate,95.0,25.294124496544637
astronaut,scipy_ndimage_rotate,100.0,25.286269313556748
astronaut,scipy_ndimage_rotate,105.0,25.2759719133973
astronaut,scipy_ndimage_rotate,110.0,31.406187128269593
astronaut,scipy_ndimage_rotate,115.0,31.585650703417983
astronaut,scipy_ndimage_rotate,120.0,25.1706932824658
astronaut,scipy_ndimage_rotate,125.0,25.142221672682844
astronaut,scipy_ndimage_rotate,130.0,25.142446684320117
astronaut,scipy_ndimage_rotate,135.0,35.39144293803676
astronaut,scipy_ndimage_rotate,140.0,25.145720418604448
astronaut,scipy_ndimage_rotate,145.0,25.137611666425173
astronaut,scipy_ndimage_rotate,150.0,25.16752596520146
astronaut,scipy_ndimage_rotate,155.0,31.54702459552075
astronaut,scipy_ndimage_rotate,160.0,31.436933605443716
astronaut,scipy_ndimage_rotate,165.0,25.272454528153602
astronaut,scipy_ndimage_rotate,170.0,25.287731383845966
astronaut,scipy_ndimage_rotate,175.0,25.290258373000558
astronaut,scipy_ndimage_rotate,180.0,99.0
astronaut,scipy_ndimage_rotate,185.0,25.294124496544637
astronaut,scipy_ndimage_rotate,190.0,25.286269313556748
astronaut,scipy_ndimage_rotate,195.0,25.2759719133973
astronaut,scipy_ndimage_rotate,200.0,31.406187128269593
astronaut,scipy_ndimage_rotate,205.0,31.585650703417983
astronaut,scipy_ndimage_rotate,210.0,25.1706932824658
astronaut,scipy_ndimage_rotate,215.0,25.142221672682844
astronaut,scipy_ndimage_rotate,220.0,25.142446684320117
astronaut,scipy_ndimage_rotate,225.0,35.39144293803676
