signal,operator,angle_deg,psnr
astronaut_sigma15,fourier_rotation,60.0,58.69393978849167
astronaut_sigma15,fourier_rotation,65.0,57.83789409328121
astronaut_sigma15,fourier_rotation,70.0,57.02277513163303
astronaut_sigma15,fourier_rotation,75.0,56.70789355086864
astronaut_sigma15,fourier_rotation,80.0,56.09318354287258
astronaut_sigma15,fourier_rotation,85.0,55.316784904683246
astronaut_sigma15,fourier_rotation,90.0,99.0
astronaut_sigma15,fourier_rotation,95.0,55.541667838030605
astronaut_sigma15,fourier_rotation,100.0,56.20058982675248
astronaut_sigma15,fourier_rotation,105.0,56.21190620204394
astronaut_sigma15,fourier_rotation,110.0,57.102315656911884
astronaut_sigma15,fourier_rotation,115.0,57.855117437054595
astronaut_sigma15,fourier_rotation,120.0,58.66891599567509
astronaut_sigma15,fourier_rotation,125.0,58.525769321817684
astronaut_sigma15,fourier_rotation,130.0,58.952173039072406
astronaut_sigma15,fourier_rotation,135.0,59.18961455692421
astronaut_sigma15,fourier_rotation,140.0,58.81817375590269
astronaut_sigma15,fourier_rotation,145.0,58.23162739595608
astronaut_sigma15,fourier_rotation,150.0,58.31395814173913
astronaut_sigma15,fourier_rotation,155.0,57.36382731328882
astronaut_sigma15,fourier_rotation,160.0,56.86535279781992
astronaut_sigma15,fourier_rotation,165.0,56.063768068784086
astronaut_sigma15,fourier_rotation,170.0,55.810071950971576
astronaut_sigma15,fourier_rotation,175.0,54.878010412437106
astronaut_sigma15,fourier_rotation,180.0,99.0
astronaut_sigma15,fourier_rotation,185.0,55.053680144846915
astronaut_sigma15,fourier_rotation,190.0,56.129187258650084
astronaut_sigma15,fourier_rotation,195.0,56.04815276740421
astronaut_sigma15,fourier_rotation,200.0,56.813310622276056
astronaut_sigma15,fourier_rotation,205.0,57.43878097894735
astronaut_sigma15,fourier_rotation,210.0,58.37619246765185
astronaut_sigma15,fourier_rotation,215.0,58.05827734870143
astronaut_sigma15,fourier_rotation,220.0,58.90649149835555
astronaut_sigma15,fourier_rotation,225.0,59.17134764343149
astronaut_sigma15,fourier_rotation,230.0,58.96829310349632
astronaut_sigma15,fourier_rotation,235.0,58.59811736590186
astronaut_sigma15,fourier_rotation,240.0,58.69393978849167
astronaut_sigma15,fourier_rotation,245.0,57.83789409328121
astronaut_sigma15,fourier_rotation,250.0,57.02277513163303
astronaut_sigma15,fourier_rotation,255.0,56.70789355086864
astronaut_sigma15,fourier_rotation,260.0,56.09318354287258
astronaut_sigma15,fourier_rotation,265.0,55.316784904683246
astronaut_sigma15,fourier_rotation,270.0,99.0
astronaut_sigma15,fourier_rotation,275.0,55.541667838030605
astronaut_sigma15,fourier_rotation,280.0,56.20058982675248
astronaut_sigma15,fourier_rotation,285.0,56.21190620204394
astronaut_sigma15,fourier_rotation,290.0,57.102315656911884
astronaut_sigma15,fourier_rotation,295.0,57.855117437054595
astronaut_sigma15,fourier_rotation,300.0,58.66891599567509
astronaut_sigma15,fourier_rotation,305.0,58.525769321817684
astronaut_sigma15,fourier_rotation,310.0,58.952173039072406
astronaut_sigma15,fourier_rotation,315.0,59.18961455692421
astronaut_sigma15,fourier_rotation,320.0,58.81817375590269
astronaut_sigma15,fourier_rotation,325.0,58.23162739595608
astronaut_sigma15,fourier_rotation,330.0,58.31395814173913
astronaut_sigma15,fourier_rotation,335.0,57.36382731328882
astronaut_sigma15,fourier_rotation,340.0,56.86535279781992
astronaut_sigma15,fourier_rotation,345.0,56.063768068784086
